date,Fassadenplatten,isPartial
2018-01-07,0,False
2018-01-14,38,False
2018-01-21,42,False
2018-01-28,43,False
2018-02-04,52,False
2018-02-11,52,False
2018-02-18,0,False
2018-02-25,26,False
2018-03-04,78,False
2018-03-11,34,False
2018-03-18,0,False
2018-03-25,37,False
2018-04-01,37,False
2018-04-08,0,False
2018-04-15,27,False
2018-04-22,0,False
2018-04-29,56,False
2018-05-06,74,False
2018-05-13,27,False
2018-05-20,58,False
2018-05-27,76,False
2018-06-03,27,False
2018-06-10,34,False
2018-06-17,39,False
2018-06-24,79,False
2018-07-01,52,False
2018-07-08,52,False
2018-07-15,62,False
2018-07-22,40,False
2018-07-29,56,False
2018-08-05,47,False
2018-08-12,0,False
2018-08-19,59,False
2018-08-26,58,False
2018-09-02,27,False
2018-09-09,27,False
2018-09-16,27,False
2018-09-23,40,False
2018-09-30,27,False
2018-10-07,39,False
2018-10-14,52,False
2018-10-21,38,False
2018-10-28,52,False
2018-11-04,42,False
2018-11-11,59,False
2018-11-18,36,False
2018-11-25,25,False
2018-12-02,0,False
2018-12-09,25,False
2018-12-16,26,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,48,False
2019-01-13,24,False
2019-01-20,24,False
2019-01-27,47,False
2019-02-03,48,False
2019-02-10,41,False
2019-02-17,37,False
2019-02-24,25,False
2019-03-03,33,False
2019-03-10,32,False
2019-03-17,25,False
2019-03-24,37,False
2019-03-31,37,False
2019-04-07,57,False
2019-04-14,53,False
2019-04-21,65,False
2019-04-28,37,False
2019-05-05,63,False
2019-05-12,37,False
2019-05-19,24,False
2019-05-26,74,False
2019-06-02,100,False
2019-06-09,39,False
2019-06-16,35,False
2019-06-23,50,False
2019-06-30,98,False
2019-07-07,24,False
2019-07-14,50,False
2019-07-21,52,False
2019-07-28,35,False
2019-08-04,41,False
2019-08-11,40,False
2019-08-18,54,False
2019-08-25,27,False
2019-09-01,38,False
2019-09-08,25,False
2019-09-15,50,False
2019-09-22,40,False
2019-09-29,49,False
2019-10-06,24,False
2019-10-13,70,False
2019-10-20,35,False
2019-10-27,47,False
2019-11-03,30,False
2019-11-10,35,False
2019-11-17,23,False
2019-11-24,37,False
2019-12-01,47,False
2019-12-08,45,False
2019-12-15,47,False
2019-12-22,0,False
2019-12-29,26,False
2020-01-05,22,False
2020-01-12,43,False
2020-01-19,44,False
2020-01-26,36,False
2020-02-02,36,False
2020-02-09,36,False
2020-02-16,23,False
2020-02-23,22,False
2020-03-01,43,False
2020-03-08,40,False
2020-03-15,39,False
2020-03-22,19,False
2020-03-29,32,False
2020-04-05,35,False
2020-04-12,61,False
2020-04-19,33,False
2020-04-26,76,False
2020-05-03,32,False
2020-05-10,84,False
