date,panneau solaire,isPartial
2018-01-07,41,False
2018-01-14,21,False
2018-01-21,28,False
2018-01-28,21,False
2018-02-04,83,False
2018-02-11,21,False
2018-02-18,31,False
2018-02-25,82,False
2018-03-04,28,False
2018-03-11,21,False
2018-03-18,52,False
2018-03-25,42,False
2018-04-01,76,False
2018-04-08,31,False
2018-04-15,22,False
2018-04-22,41,False
2018-04-29,29,False
2018-05-06,65,False
2018-05-13,43,False
2018-05-20,43,False
2018-05-27,52,False
2018-06-03,61,False
2018-06-10,40,False
2018-06-17,32,False
2018-06-24,64,False
2018-07-01,34,False
2018-07-08,21,False
2018-07-15,33,False
2018-07-22,36,False
2018-07-29,42,False
2018-08-05,41,False
2018-08-12,82,False
2018-08-19,41,False
2018-08-26,62,False
2018-09-02,35,False
2018-09-09,53,False
2018-09-16,41,False
2018-09-23,29,False
2018-09-30,49,False
2018-10-07,53,False
2018-10-14,37,False
2018-10-21,43,False
2018-10-28,51,False
2018-11-04,48,False
2018-11-11,96,False
2018-11-18,41,False
2018-11-25,55,False
2018-12-02,28,False
2018-12-09,43,False
2018-12-16,22,False
2018-12-23,75,False
2018-12-30,32,False
2019-01-06,21,False
2019-01-13,31,False
2019-01-20,31,False
2019-01-27,40,False
2019-02-03,28,False
2019-02-10,33,False
2019-02-17,44,False
2019-02-24,28,False
2019-03-03,34,False
2019-03-10,35,False
2019-03-17,29,False
2019-03-24,33,False
2019-03-31,50,False
2019-04-07,100,False
2019-04-14,43,False
2019-04-21,60,False
2019-04-28,53,False
2019-05-05,20,False
2019-05-12,21,False
2019-05-19,69,False
2019-05-26,47,False
2019-06-02,56,False
2019-06-09,49,False
2019-06-16,21,False
2019-06-23,51,False
2019-06-30,62,False
2019-07-07,54,False
2019-07-14,34,False
2019-07-21,41,False
2019-07-28,61,False
2019-08-04,33,False
2019-08-11,28,False
2019-08-18,67,False
2019-08-25,26,False
2019-09-01,58,False
2019-09-08,59,False
2019-09-15,50,False
2019-09-22,28,False
2019-09-29,38,False
2019-10-06,38,False
2019-10-13,44,False
2019-10-20,38,False
2019-10-27,36,False
2019-11-03,37,False
2019-11-10,31,False
2019-11-17,56,False
2019-11-24,24,False
2019-12-01,28,False
2019-12-08,56,False
2019-12-15,50,False
2019-12-22,58,False
2019-12-29,57,False
2020-01-05,18,False
2020-01-12,30,False
2020-01-19,37,False
2020-01-26,36,False
2020-02-02,30,False
2020-02-09,18,False
2020-02-16,27,False
2020-02-23,62,False
2020-03-01,29,False
2020-03-08,51,False
2020-03-15,30,False
2020-03-22,24,False
2020-03-29,29,False
2020-04-05,40,False
2020-04-12,53,False
2020-04-19,46,False
2020-04-26,46,False
2020-05-03,42,False
2020-05-10,23,False
2020-05-17,61,False
2020-05-24,65,False
2020-05-31,36,False
2020-06-07,57,False
2020-06-14,53,False
2020-06-21,89,True
