date,panneau solaire,isPartial
2018-01-07,34,False
2018-01-14,15,False
2018-01-21,12,False
2018-01-28,24,False
2018-02-04,26,False
2018-02-11,18,False
2018-02-18,34,False
2018-02-25,18,False
2018-03-04,12,False
2018-03-11,9,False
2018-03-18,23,False
2018-03-25,16,False
2018-04-01,32,False
2018-04-08,9,False
2018-04-15,10,False
2018-04-22,13,False
2018-04-29,14,False
2018-05-06,13,False
2018-05-13,19,False
2018-05-20,25,False
2018-05-27,34,False
2018-06-03,22,False
2018-06-10,21,False
2018-06-17,9,False
2018-06-24,16,False
2018-07-01,9,False
2018-07-08,34,False
2018-07-15,11,False
2018-07-22,14,False
2018-07-29,26,False
2018-08-05,21,False
2018-08-12,22,False
2018-08-19,32,False
2018-08-26,15,False
2018-09-02,25,False
2018-09-09,10,False
2018-09-16,29,False
2018-09-23,10,False
2018-09-30,23,False
2018-10-07,23,False
2018-10-14,20,False
2018-10-21,20,False
2018-10-28,9,False
2018-11-04,23,False
2018-11-11,14,False
2018-11-18,42,False
2018-11-25,21,False
2018-12-02,28,False
2018-12-09,22,False
2018-12-16,39,False
2018-12-23,10,False
2018-12-30,30,False
2019-01-06,23,False
2019-01-13,9,False
2019-01-20,24,False
2019-01-27,17,False
2019-02-03,22,False
2019-02-10,10,False
2019-02-17,35,False
2019-02-24,38,False
2019-03-03,13,False
2019-03-10,28,False
2019-03-17,22,False
2019-03-24,19,False
2019-03-31,16,False
2019-04-07,26,False
2019-04-14,20,False
2019-04-21,22,False
2019-04-28,12,False
2019-05-05,32,False
2019-05-12,22,False
2019-05-19,15,False
2019-05-26,18,False
2019-06-02,21,False
2019-06-09,24,False
2019-06-16,25,False
2019-06-23,19,False
2019-06-30,75,False
2019-07-07,44,False
2019-07-14,17,False
2019-07-21,25,False
2019-07-28,31,False
2019-08-04,16,False
2019-08-11,26,False
2019-08-18,17,False
2019-08-25,25,False
2019-09-01,9,False
2019-09-08,37,False
2019-09-15,45,False
2019-09-22,20,False
2019-09-29,13,False
2019-10-06,26,False
2019-10-13,22,False
2019-10-20,17,False
2019-10-27,19,False
2019-11-03,19,False
2019-11-10,19,False
2019-11-17,20,False
2019-11-24,13,False
2019-12-01,16,False
2019-12-08,35,False
2019-12-15,12,False
2019-12-22,26,False
2019-12-29,20,False
2020-01-05,21,False
2020-01-12,15,False
2020-01-19,27,False
2020-01-26,16,False
2020-02-02,16,False
2020-02-09,21,False
2020-02-16,8,False
2020-02-23,18,False
2020-03-01,20,False
2020-03-08,12,False
2020-03-15,14,False
2020-03-22,11,False
2020-03-29,16,False
2020-04-05,15,False
2020-04-12,25,False
2020-04-19,25,False
2020-04-26,27,False
2020-05-03,25,False
2020-05-10,25,False
2020-05-17,17,False
2020-05-24,37,False
2020-05-31,18,False
2020-06-07,23,False
2020-06-14,36,False
2020-06-21,100,True
