date,Holzbauer,isPartial
2018-01-07,31,False
2018-01-14,18,False
2018-01-21,12,False
2018-01-28,25,False
2018-02-04,57,False
2018-02-11,18,False
2018-02-18,12,False
2018-02-25,12,False
2018-03-04,61,False
2018-03-11,30,False
2018-03-18,25,False
2018-03-25,13,False
2018-04-01,14,False
2018-04-08,26,False
2018-04-15,20,False
2018-04-22,26,False
2018-04-29,0,False
2018-05-06,20,False
2018-05-13,26,False
2018-05-20,33,False
2018-05-27,27,False
2018-06-03,19,False
2018-06-10,25,False
2018-06-17,13,False
2018-06-24,19,False
2018-07-01,13,False
2018-07-08,25,False
2018-07-15,46,False
2018-07-22,20,False
2018-07-29,14,False
2018-08-05,20,False
2018-08-12,27,False
2018-08-19,13,False
2018-08-26,25,False
2018-09-02,26,False
2018-09-09,26,False
2018-09-16,26,False
2018-09-23,39,False
2018-09-30,19,False
2018-10-07,13,False
2018-10-14,13,False
2018-10-21,32,False
2018-10-28,32,False
2018-11-04,31,False
2018-11-11,25,False
2018-11-18,24,False
2018-11-25,25,False
2018-12-02,19,False
2018-12-09,19,False
2018-12-16,26,False
2018-12-23,22,False
2018-12-30,25,False
2019-01-06,0,False
2019-01-13,17,False
2019-01-20,23,False
2019-01-27,46,False
2019-02-03,24,False
2019-02-10,70,False
2019-02-17,41,False
2019-02-24,47,False
2019-03-03,23,False
2019-03-10,23,False
2019-03-17,30,False
2019-03-24,42,False
2019-03-31,37,False
2019-04-07,12,False
2019-04-14,26,False
2019-04-21,32,False
2019-04-28,12,False
2019-05-05,29,False
2019-05-12,41,False
2019-05-19,36,False
2019-05-26,12,False
2019-06-02,31,False
2019-06-09,100,False
2019-06-16,98,False
2019-06-23,25,False
2019-06-30,25,False
2019-07-07,24,False
2019-07-14,13,False
2019-07-21,39,False
2019-07-28,25,False
2019-08-04,20,False
2019-08-11,13,False
2019-08-18,55,False
2019-08-25,0,False
2019-09-01,23,False
2019-09-08,18,False
2019-09-15,18,False
2019-09-22,12,False
2019-09-29,22,False
2019-10-06,29,False
2019-10-13,17,False
2019-10-20,29,False
2019-10-27,12,False
2019-11-03,33,False
2019-11-10,33,False
2019-11-17,34,False
2019-11-24,17,False
2019-12-01,28,False
2019-12-08,17,False
2019-12-15,17,False
2019-12-22,13,False
2019-12-29,12,False
2020-01-05,11,False
2020-01-12,30,False
2020-01-19,10,False
2020-01-26,15,False
2020-02-02,21,False
2020-02-09,26,False
2020-02-16,16,False
2020-02-23,20,False
2020-03-01,40,False
2020-03-08,24,False
2020-03-15,10,False
2020-03-22,38,False
2020-03-29,24,False
2020-04-05,21,False
2020-04-12,10,False
2020-04-19,20,False
2020-04-26,15,False
2020-05-03,15,False
2020-05-10,25,False
2020-05-17,11,False
2020-05-24,30,False
2020-05-31,26,False
2020-06-07,31,False
2020-06-14,10,False
2020-06-21,26,False
2020-06-28,10,False
2020-07-05,22,False
