date,Feuchtigkeit Im Keller,isPartial
2018-01-07,62,False
2018-01-14,0,False
2018-01-21,41,False
2018-01-28,41,False
2018-02-04,32,False
2018-02-11,42,False
2018-02-18,63,False
2018-02-25,0,False
2018-03-04,21,False
2018-03-11,31,False
2018-03-18,21,False
2018-03-25,22,False
2018-04-01,34,False
2018-04-08,21,False
2018-04-15,55,False
2018-04-22,63,False
2018-04-29,44,False
2018-05-06,0,False
2018-05-13,42,False
2018-05-20,22,False
2018-05-27,97,False
2018-06-03,0,False
2018-06-10,20,False
2018-06-17,62,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,43,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,43,False
2018-08-12,33,False
2018-08-19,22,False
2018-08-26,43,False
2018-09-02,21,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,42,False
2018-09-30,21,False
2018-10-07,0,False
2018-10-14,53,False
2018-10-21,21,False
2018-10-28,20,False
2018-11-04,61,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,20,False
2018-12-02,20,False
2018-12-09,20,False
2018-12-16,42,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,19,False
2019-01-13,29,False
2019-01-20,28,False
2019-01-27,19,False
2019-02-03,19,False
2019-02-10,39,False
2019-02-17,30,False
2019-02-24,0,False
2019-03-03,39,False
2019-03-10,29,False
2019-03-17,20,False
2019-03-24,0,False
2019-03-31,20,False
2019-04-07,20,False
2019-04-14,22,False
2019-04-21,0,False
2019-04-28,20,False
2019-05-05,19,False
2019-05-12,40,False
2019-05-19,39,False
2019-05-26,41,False
2019-06-02,30,False
2019-06-09,41,False
2019-06-16,20,False
2019-06-23,41,False
2019-06-30,30,False
2019-07-07,60,False
2019-07-14,41,False
2019-07-21,22,False
2019-07-28,42,False
2019-08-04,32,False
2019-08-11,81,False
2019-08-18,52,False
2019-08-25,20,False
2019-09-01,39,False
2019-09-08,100,False
2019-09-15,40,False
2019-09-22,19,False
2019-09-29,20,False
2019-10-06,39,False
2019-10-13,19,False
2019-10-20,19,False
2019-10-27,28,False
2019-11-03,18,False
2019-11-10,18,False
2019-11-17,37,False
2019-11-24,36,False
2019-12-01,18,False
2019-12-08,19,False
2019-12-15,56,False
2019-12-22,22,False
2019-12-29,40,False
2020-01-05,27,False
2020-01-12,17,False
2020-01-19,26,False
2020-01-26,53,False
2020-02-02,0,False
2020-02-09,17,False
2020-02-16,36,False
2020-02-23,26,False
2020-03-01,17,False
2020-03-08,32,False
2020-03-15,16,False
2020-03-22,31,False
2020-03-29,16,False
2020-04-05,17,False
2020-04-12,0,False
2020-04-19,16,False
2020-04-26,16,False
2020-05-03,0,False
2020-05-10,16,False
