date,Linoleumboden,isPartial
2018-01-07,34,False
2018-01-14,50,False
2018-01-21,51,False
2018-01-28,76,False
2018-02-04,40,False
2018-02-11,26,False
2018-02-18,43,False
2018-02-25,64,False
2018-03-04,52,False
2018-03-11,26,False
2018-03-18,35,False
2018-03-25,69,False
2018-04-01,41,False
2018-04-08,39,False
2018-04-15,27,False
2018-04-22,51,False
2018-04-29,40,False
2018-05-06,54,False
2018-05-13,26,False
2018-05-20,0,False
2018-05-27,39,False
2018-06-03,78,False
2018-06-10,25,False
2018-06-17,0,False
2018-06-24,39,False
2018-07-01,38,False
2018-07-08,50,False
2018-07-15,40,False
2018-07-22,27,False
2018-07-29,41,False
2018-08-05,41,False
2018-08-12,41,False
2018-08-19,53,False
2018-08-26,26,False
2018-09-02,35,False
2018-09-09,53,False
2018-09-16,52,False
2018-09-23,40,False
2018-09-30,26,False
2018-10-07,35,False
2018-10-14,53,False
2018-10-21,26,False
2018-10-28,43,False
2018-11-04,62,False
2018-11-11,25,False
2018-11-18,49,False
2018-11-25,37,False
2018-12-02,50,False
2018-12-09,100,False
2018-12-16,51,False
2018-12-23,59,False
2018-12-30,27,False
2019-01-06,36,False
2019-01-13,24,False
2019-01-20,35,False
2019-01-27,24,False
2019-02-03,48,False
2019-02-10,24,False
2019-02-17,24,False
2019-02-24,25,False
2019-03-03,24,False
2019-03-10,59,False
2019-03-17,33,False
2019-03-24,50,False
2019-03-31,24,False
2019-04-07,33,False
2019-04-14,0,False
2019-04-21,53,False
2019-04-28,0,False
2019-05-05,24,False
2019-05-12,0,False
2019-05-19,24,False
2019-05-26,25,False
2019-06-02,24,False
2019-06-09,37,False
2019-06-16,25,False
2019-06-23,0,False
2019-06-30,24,False
2019-07-07,24,False
2019-07-14,38,False
2019-07-21,28,False
2019-07-28,45,False
2019-08-04,27,False
2019-08-11,26,False
2019-08-18,26,False
2019-08-25,49,False
2019-09-01,24,False
2019-09-08,37,False
2019-09-15,25,False
2019-09-22,24,False
2019-09-29,24,False
2019-10-06,24,False
2019-10-13,0,False
2019-10-20,24,False
2019-10-27,35,False
2019-11-03,23,False
2019-11-10,46,False
2019-11-17,30,False
2019-11-24,33,False
2019-12-01,0,False
2019-12-08,34,False
2019-12-15,23,False
2019-12-22,27,False
2019-12-29,38,False
2020-01-05,43,False
2020-01-12,42,False
2020-01-19,22,False
2020-01-26,22,False
2020-02-02,0,False
2020-02-09,42,False
2020-02-16,22,False
2020-02-23,35,False
2020-03-01,21,False
2020-03-08,40,False
2020-03-15,20,False
2020-03-22,33,False
2020-03-29,39,False
2020-04-05,21,False
2020-04-12,20,False
2020-04-19,33,False
2020-04-26,19,False
2020-05-03,40,False
2020-05-10,20,False
