date,Linoleumboden,isPartial
2018-01-07,69,False
2018-01-14,52,False
2018-01-21,51,False
2018-01-28,34,False
2018-02-04,53,False
2018-02-11,49,False
2018-02-18,60,False
2018-02-25,71,False
2018-03-04,54,False
2018-03-11,36,False
2018-03-18,72,False
2018-03-25,77,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,56,False
2018-04-22,0,False
2018-04-29,37,False
2018-05-06,37,False
2018-05-13,35,False
2018-05-20,38,False
2018-05-27,38,False
2018-06-03,36,False
2018-06-10,0,False
2018-06-17,34,False
2018-06-24,46,False
2018-07-01,51,False
2018-07-08,51,False
2018-07-15,35,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,74,False
2018-08-12,58,False
2018-08-19,51,False
2018-08-26,38,False
2018-09-02,37,False
2018-09-09,36,False
2018-09-16,72,False
2018-09-23,48,False
2018-09-30,72,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,35,False
2018-10-28,71,False
2018-11-04,45,False
2018-11-11,52,False
2018-11-18,100,False
2018-11-25,68,False
2018-12-02,34,False
2018-12-09,0,False
2018-12-16,35,False
2018-12-23,62,False
2018-12-30,74,False
2019-01-06,33,False
2019-01-13,32,False
2019-01-20,32,False
2019-01-27,33,False
2019-02-03,48,False
2019-02-10,66,False
2019-02-17,33,False
2019-02-24,0,False
2019-03-03,34,False
2019-03-10,66,False
2019-03-17,70,False
2019-03-24,70,False
2019-03-31,0,False
2019-04-07,34,False
2019-04-14,37,False
2019-04-21,36,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,33,False
2019-05-19,55,False
2019-05-26,34,False
2019-06-02,51,False
2019-06-09,36,False
2019-06-16,35,False
2019-06-23,34,False
2019-06-30,0,False
2019-07-07,32,False
2019-07-14,84,False
2019-07-21,35,False
2019-07-28,34,False
2019-08-04,36,False
2019-08-11,36,False
2019-08-18,74,False
2019-08-25,48,False
2019-09-01,34,False
2019-09-08,56,False
2019-09-15,34,False
2019-09-22,65,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,32,False
2019-10-20,32,False
2019-10-27,95,False
2019-11-03,62,False
2019-11-10,47,False
2019-11-17,31,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,32,False
2019-12-15,33,False
2019-12-22,37,False
2019-12-29,69,False
2020-01-05,30,False
2020-01-12,30,False
2020-01-19,30,False
2020-01-26,30,False
2020-02-02,88,False
2020-02-09,0,False
2020-02-16,31,False
2020-02-23,30,False
2020-03-01,88,False
2020-03-08,28,False
2020-03-15,54,False
2020-03-22,28,False
2020-03-29,27,False
2020-04-05,45,False
2020-04-12,28,False
2020-04-19,28,False
2020-04-26,27,False
2020-05-03,56,False
2020-05-10,28,False
