date,Malermeister,isPartial
2018-01-07,26,False
2018-01-14,25,False
2018-01-21,52,False
2018-01-28,52,False
2018-02-04,28,False
2018-02-11,53,False
2018-02-18,39,False
2018-02-25,26,False
2018-03-04,26,False
2018-03-11,26,False
2018-03-18,40,False
2018-03-25,0,False
2018-04-01,29,False
2018-04-08,84,False
2018-04-15,29,False
2018-04-22,27,False
2018-04-29,43,False
2018-05-06,29,False
2018-05-13,69,False
2018-05-20,29,False
2018-05-27,0,False
2018-06-03,27,False
2018-06-10,26,False
2018-06-17,26,False
2018-06-24,0,False
2018-07-01,26,False
2018-07-08,26,False
2018-07-15,28,False
2018-07-22,27,False
2018-07-29,41,False
2018-08-05,27,False
2018-08-12,54,False
2018-08-19,0,False
2018-08-26,54,False
2018-09-02,27,False
2018-09-09,41,False
2018-09-16,54,False
2018-09-23,40,False
2018-09-30,27,False
2018-10-07,27,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,27,False
2018-11-04,26,False
2018-11-11,26,False
2018-11-18,49,False
2018-11-25,26,False
2018-12-02,26,False
2018-12-09,64,False
2018-12-16,51,False
2018-12-23,27,False
2018-12-30,76,False
2019-01-06,24,False
2019-01-13,0,False
2019-01-20,36,False
2019-01-27,72,False
2019-02-03,50,False
2019-02-10,48,False
2019-02-17,49,False
2019-02-24,37,False
2019-03-03,83,False
2019-03-10,48,False
2019-03-17,50,False
2019-03-24,50,False
2019-03-31,52,False
2019-04-07,25,False
2019-04-14,27,False
2019-04-21,26,False
2019-04-28,24,False
2019-05-05,0,False
2019-05-12,25,False
2019-05-19,36,False
2019-05-26,0,False
2019-06-02,73,False
2019-06-09,0,False
2019-06-16,25,False
2019-06-23,25,False
2019-06-30,38,False
2019-07-07,100,False
2019-07-14,26,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,35,False
2019-08-18,24,False
2019-08-25,35,False
2019-09-01,35,False
2019-09-08,48,False
2019-09-15,47,False
2019-09-22,47,False
2019-09-29,0,False
2019-10-06,49,False
2019-10-13,0,False
2019-10-20,23,False
2019-10-27,22,False
2019-11-03,0,False
2019-11-10,22,False
2019-11-17,33,False
2019-11-24,22,False
2019-12-01,22,False
2019-12-08,44,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,45,False
2020-01-05,21,False
2020-01-12,21,False
2020-01-19,21,False
2020-01-26,52,False
2020-02-02,66,False
2020-02-09,41,False
2020-02-16,20,False
2020-02-23,20,False
2020-03-01,20,False
2020-03-08,20,False
2020-03-15,27,False
2020-03-22,17,False
2020-03-29,34,False
2020-04-05,0,False
2020-04-12,38,False
2020-04-19,36,False
2020-04-26,18,False
2020-05-03,36,False
2020-05-10,19,False
2020-05-17,44,True
