date,Malermeister,isPartial
2018-01-07,29,False
2018-01-14,48,False
2018-01-21,29,False
2018-01-28,29,False
2018-02-04,0,False
2018-02-11,30,False
2018-02-18,30,False
2018-02-25,44,False
2018-03-04,89,False
2018-03-11,40,False
2018-03-18,30,False
2018-03-25,31,False
2018-04-01,64,False
2018-04-08,31,False
2018-04-15,32,False
2018-04-22,30,False
2018-04-29,31,False
2018-05-06,32,False
2018-05-13,31,False
2018-05-20,41,False
2018-05-27,46,False
2018-06-03,47,False
2018-06-10,30,False
2018-06-17,30,False
2018-06-24,47,False
2018-07-01,63,False
2018-07-08,31,False
2018-07-15,48,False
2018-07-22,32,False
2018-07-29,0,False
2018-08-05,44,False
2018-08-12,60,False
2018-08-19,60,False
2018-08-26,61,False
2018-09-02,30,False
2018-09-09,46,False
2018-09-16,46,False
2018-09-23,30,False
2018-09-30,32,False
2018-10-07,32,False
2018-10-14,31,False
2018-10-21,30,False
2018-10-28,0,False
2018-11-04,29,False
2018-11-11,29,False
2018-11-18,28,False
2018-11-25,29,False
2018-12-02,0,False
2018-12-09,39,False
2018-12-16,60,False
2018-12-23,49,False
2018-12-30,0,False
2019-01-06,27,False
2019-01-13,28,False
2019-01-20,27,False
2019-01-27,37,False
2019-02-03,28,False
2019-02-10,42,False
2019-02-17,43,False
2019-02-24,30,False
2019-03-03,29,False
2019-03-10,28,False
2019-03-17,29,False
2019-03-24,44,False
2019-03-31,29,False
2019-04-07,58,False
2019-04-14,30,False
2019-04-21,30,False
2019-04-28,29,False
2019-05-05,0,False
2019-05-12,58,False
2019-05-19,29,False
2019-05-26,86,False
2019-06-02,100,False
2019-06-09,29,False
2019-06-16,29,False
2019-06-23,29,False
2019-06-30,30,False
2019-07-07,59,False
2019-07-14,0,False
2019-07-21,31,False
2019-07-28,62,False
2019-08-04,29,False
2019-08-11,28,False
2019-08-18,43,False
2019-08-25,57,False
2019-09-01,42,False
2019-09-08,29,False
2019-09-15,73,False
2019-09-22,37,False
2019-09-29,29,False
2019-10-06,42,False
2019-10-13,36,False
2019-10-20,54,False
2019-10-27,26,False
2019-11-03,26,False
2019-11-10,26,False
2019-11-17,53,False
2019-11-24,52,False
2019-12-01,36,False
2019-12-08,35,False
2019-12-15,27,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,25,False
2020-01-12,37,False
2020-01-19,51,False
2020-01-26,25,False
2020-02-02,49,False
2020-02-09,49,False
2020-02-16,26,False
2020-02-23,24,False
2020-03-01,24,False
2020-03-08,34,False
2020-03-15,43,False
2020-03-22,21,False
2020-03-29,64,False
2020-04-05,0,False
2020-04-12,22,False
2020-04-19,33,False
2020-04-26,32,False
2020-05-03,44,False
2020-05-10,22,False
2020-05-17,0,True
