date,pettinature,isPartial
2018-01-07,46,False
2018-01-14,23,False
2018-01-21,100,False
2018-01-28,58,False
2018-02-04,92,False
2018-02-11,23,False
2018-02-18,45,False
2018-02-25,36,False
2018-03-04,22,False
2018-03-11,45,False
2018-03-18,31,False
2018-03-25,32,False
2018-04-01,49,False
2018-04-08,45,False
2018-04-15,16,False
2018-04-22,49,False
2018-04-29,31,False
2018-05-06,54,False
2018-05-13,46,False
2018-05-20,47,False
2018-05-27,39,False
2018-06-03,15,False
2018-06-10,60,False
2018-06-17,33,False
2018-06-24,17,False
2018-07-01,25,False
2018-07-08,50,False
2018-07-15,35,False
2018-07-22,27,False
2018-07-29,74,False
2018-08-05,41,False
2018-08-12,46,False
2018-08-19,42,False
2018-08-26,36,False
2018-09-02,34,False
2018-09-09,50,False
2018-09-16,49,False
2018-09-23,41,False
2018-09-30,41,False
2018-10-07,66,False
2018-10-14,25,False
2018-10-21,0,False
2018-10-28,48,False
2018-11-04,31,False
2018-11-11,16,False
2018-11-18,37,False
2018-11-25,31,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,25,False
2018-12-23,65,False
2018-12-30,43,False
2019-01-06,15,False
2019-01-13,15,False
2019-01-20,14,False
2019-01-27,28,False
2019-02-03,49,False
2019-02-10,28,False
2019-02-17,22,False
2019-02-24,15,False
2019-03-03,76,False
2019-03-10,15,False
2019-03-17,38,False
2019-03-24,15,False
2019-03-31,51,False
2019-04-07,14,False
2019-04-14,23,False
2019-04-21,41,False
2019-04-28,62,False
2019-05-05,45,False
2019-05-12,52,False
2019-05-19,43,False
2019-05-26,50,False
2019-06-02,29,False
2019-06-09,57,False
2019-06-16,15,False
2019-06-23,46,False
2019-06-30,38,False
2019-07-07,15,False
2019-07-14,15,False
2019-07-21,64,False
2019-07-28,42,False
2019-08-04,35,False
2019-08-11,77,False
2019-08-18,26,False
2019-08-25,15,False
2019-09-01,62,False
2019-09-08,44,False
2019-09-15,28,False
2019-09-22,57,False
2019-09-29,28,False
2019-10-06,22,False
2019-10-13,56,False
2019-10-20,27,False
2019-10-27,41,False
2019-11-03,41,False
2019-11-10,13,False
2019-11-17,46,False
2019-11-24,13,False
2019-12-01,34,False
2019-12-08,28,False
2019-12-15,14,False
2019-12-22,23,False
2019-12-29,53,False
2020-01-05,20,False
2020-01-12,37,False
2020-01-19,19,False
2020-01-26,19,False
2020-02-02,24,False
2020-02-09,32,False
2020-02-16,44,False
2020-02-23,29,False
2020-03-01,24,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,32,False
2020-03-29,22,False
2020-04-05,47,False
2020-04-12,47,False
2020-04-19,11,False
2020-04-26,28,True
