date,solaire thermique,isPartial
2018-01-07,34,False
2018-01-14,25,False
2018-01-21,37,False
2018-01-28,25,False
2018-02-04,33,False
2018-02-11,100,False
2018-02-18,25,False
2018-02-25,59,False
2018-03-04,24,False
2018-03-11,49,False
2018-03-18,38,False
2018-03-25,34,False
2018-04-01,26,False
2018-04-08,0,False
2018-04-15,43,False
2018-04-22,44,False
2018-04-29,26,False
2018-05-06,27,False
2018-05-13,26,False
2018-05-20,27,False
2018-05-27,77,False
2018-06-03,26,False
2018-06-10,75,False
2018-06-17,27,False
2018-06-24,40,False
2018-07-01,51,False
2018-07-08,26,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,28,False
2018-08-05,0,False
2018-08-12,58,False
2018-08-19,28,False
2018-08-26,0,False
2018-09-02,27,False
2018-09-09,27,False
2018-09-16,40,False
2018-09-23,0,False
2018-09-30,26,False
2018-10-07,40,False
2018-10-14,36,False
2018-10-21,27,False
2018-10-28,0,False
2018-11-04,52,False
2018-11-11,26,False
2018-11-18,51,False
2018-11-25,26,False
2018-12-02,26,False
2018-12-09,26,False
2018-12-16,40,False
2018-12-23,0,False
2018-12-30,41,False
2019-01-06,42,False
2019-01-13,25,False
2019-01-20,41,False
2019-01-27,24,False
2019-02-03,25,False
2019-02-10,33,False
2019-02-17,35,False
2019-02-24,51,False
2019-03-03,25,False
2019-03-10,0,False
2019-03-17,78,False
2019-03-24,25,False
2019-03-31,48,False
2019-04-07,48,False
2019-04-14,0,False
2019-04-21,33,False
2019-04-28,36,False
2019-05-05,23,False
2019-05-12,35,False
2019-05-19,47,False
2019-05-26,0,False
2019-06-02,24,False
2019-06-09,23,False
2019-06-16,25,False
2019-06-23,73,False
2019-06-30,24,False
2019-07-07,24,False
2019-07-14,37,False
2019-07-21,0,False
2019-07-28,25,False
2019-08-04,26,False
2019-08-11,53,False
2019-08-18,41,False
2019-08-25,25,False
2019-09-01,23,False
2019-09-08,23,False
2019-09-15,47,False
2019-09-22,34,False
2019-09-29,24,False
2019-10-06,24,False
2019-10-13,24,False
2019-10-20,23,False
2019-10-27,23,False
2019-11-03,22,False
2019-11-10,22,False
2019-11-17,44,False
2019-11-24,32,False
2019-12-01,64,False
2019-12-08,22,False
2019-12-15,0,False
2019-12-22,24,False
2019-12-29,46,False
2020-01-05,0,False
2020-01-12,21,False
2020-01-19,29,False
2020-01-26,21,False
2020-02-02,21,False
2020-02-09,21,False
2020-02-16,20,False
2020-02-23,40,False
2020-03-01,0,False
2020-03-08,40,False
2020-03-15,19,False
2020-03-22,31,False
2020-03-29,28,False
2020-04-05,38,False
2020-04-12,25,False
2020-04-19,29,False
2020-04-26,60,False
2020-05-03,18,False
2020-05-10,38,False
2020-05-17,48,True
