date,Gasleitung verlegen,isPartial
2018-01-07,33,False
2018-01-14,66,False
2018-01-21,33,False
2018-01-28,66,False
2018-02-04,51,False
2018-02-11,0,False
2018-02-18,68,False
2018-02-25,50,False
2018-03-04,67,False
2018-03-11,33,False
2018-03-18,33,False
2018-03-25,36,False
2018-04-01,54,False
2018-04-08,35,False
2018-04-15,0,False
2018-04-22,34,False
2018-04-29,35,False
2018-05-06,71,False
2018-05-13,34,False
2018-05-20,36,False
2018-05-27,69,False
2018-06-03,34,False
2018-06-10,33,False
2018-06-17,33,False
2018-06-24,34,False
2018-07-01,33,False
2018-07-08,79,False
2018-07-15,35,False
2018-07-22,35,False
2018-07-29,52,False
2018-08-05,52,False
2018-08-12,53,False
2018-08-19,0,False
2018-08-26,35,False
2018-09-02,34,False
2018-09-09,90,False
2018-09-16,34,False
2018-09-23,0,False
2018-09-30,34,False
2018-10-07,34,False
2018-10-14,56,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,32,False
2018-11-11,33,False
2018-11-18,64,False
2018-11-25,100,False
2018-12-02,32,False
2018-12-09,33,False
2018-12-16,34,False
2018-12-23,77,False
2018-12-30,35,False
2019-01-06,47,False
2019-01-13,51,False
2019-01-20,31,False
2019-01-27,46,False
2019-02-03,31,False
2019-02-10,32,False
2019-02-17,32,False
2019-02-24,33,False
2019-03-03,63,False
2019-03-10,0,False
2019-03-17,33,False
2019-03-24,48,False
2019-03-31,33,False
2019-04-07,32,False
2019-04-14,58,False
2019-04-21,34,False
2019-04-28,47,False
2019-05-05,31,False
2019-05-12,64,False
2019-05-19,48,False
2019-05-26,33,False
2019-06-02,0,False
2019-06-09,33,False
2019-06-16,33,False
2019-06-23,98,False
2019-06-30,65,False
2019-07-07,97,False
2019-07-14,33,False
2019-07-21,35,False
2019-07-28,45,False
2019-08-04,34,False
2019-08-11,65,False
2019-08-18,33,False
2019-08-25,54,False
2019-09-01,47,False
2019-09-08,48,False
2019-09-15,32,False
2019-09-22,31,False
2019-09-29,79,False
2019-10-06,47,False
2019-10-13,41,False
2019-10-20,31,False
2019-10-27,61,False
2019-11-03,29,False
2019-11-10,30,False
2019-11-17,74,False
2019-11-24,29,False
2019-12-01,45,False
2019-12-08,45,False
2019-12-15,30,False
2019-12-22,0,False
2019-12-29,64,False
2020-01-05,29,False
2020-01-12,37,False
2020-01-19,66,False
2020-01-26,28,False
2020-02-02,56,False
2020-02-09,55,False
2020-02-16,38,False
2020-02-23,56,False
2020-03-01,28,False
2020-03-08,26,False
2020-03-15,26,False
2020-03-22,38,False
2020-03-29,50,False
2020-04-05,56,False
2020-04-12,53,False
2020-04-19,26,False
2020-04-26,25,False
2020-05-03,34,False
2020-05-10,26,False
