date,coque de piscine,isPartial
2018-01-07,39,False
2018-01-14,0,False
2018-01-21,59,False
2018-01-28,81,False
2018-02-04,39,False
2018-02-11,40,False
2018-02-18,41,False
2018-02-25,38,False
2018-03-04,38,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,41,False
2018-04-08,74,False
2018-04-15,43,False
2018-04-22,82,False
2018-04-29,0,False
2018-05-06,78,False
2018-05-13,58,False
2018-05-20,40,False
2018-05-27,0,False
2018-06-03,59,False
2018-06-10,38,False
2018-06-17,61,False
2018-06-24,0,False
2018-07-01,38,False
2018-07-08,38,False
2018-07-15,38,False
2018-07-22,75,False
2018-07-29,74,False
2018-08-05,52,False
2018-08-12,59,False
2018-08-19,55,False
2018-08-26,0,False
2018-09-02,59,False
2018-09-09,40,False
2018-09-16,100,False
2018-09-23,82,False
2018-09-30,41,False
2018-10-07,81,False
2018-10-14,0,False
2018-10-21,42,False
2018-10-28,0,False
2018-11-04,39,False
2018-11-11,40,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,82,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,44,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,53,False
2019-01-27,39,False
2019-02-03,41,False
2019-02-10,41,False
2019-02-17,41,False
2019-02-24,43,False
2019-03-03,42,False
2019-03-10,41,False
2019-03-17,63,False
2019-03-24,42,False
2019-03-31,41,False
2019-04-07,53,False
2019-04-14,78,False
2019-04-21,39,False
2019-04-28,0,False
2019-05-05,39,False
2019-05-12,0,False
2019-05-19,39,False
2019-05-26,39,False
2019-06-02,38,False
2019-06-09,50,False
2019-06-16,39,False
2019-06-23,76,False
2019-06-30,38,False
2019-07-07,71,False
2019-07-14,0,False
2019-07-21,46,False
2019-07-28,67,False
2019-08-04,33,False
2019-08-11,33,False
2019-08-18,62,False
2019-08-25,46,False
2019-09-01,0,False
2019-09-08,53,False
2019-09-15,36,False
2019-09-22,90,False
2019-09-29,0,False
2019-10-06,49,False
2019-10-13,36,False
2019-10-20,35,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,36,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,71,False
2019-12-08,35,False
2019-12-15,36,False
2019-12-22,40,False
2019-12-29,38,False
2020-01-05,35,False
2020-01-12,34,False
2020-01-19,0,False
2020-01-26,35,False
2020-02-02,52,False
2020-02-09,36,False
2020-02-16,46,False
2020-02-23,32,False
2020-03-01,65,False
2020-03-08,33,False
2020-03-15,0,False
2020-03-22,56,False
2020-03-29,43,False
2020-04-05,39,False
2020-04-12,38,False
2020-04-19,37,False
2020-04-26,27,False
2020-05-03,64,False
2020-05-10,47,False
2020-05-17,55,True
