date,Kochkurs,isPartial
2018-01-07,51,False
2018-01-14,42,False
2018-01-21,23,False
2018-01-28,29,False
2018-02-04,53,False
2018-02-11,36,False
2018-02-18,18,False
2018-02-25,29,False
2018-03-04,18,False
2018-03-11,35,False
2018-03-18,18,False
2018-03-25,18,False
2018-04-01,28,False
2018-04-08,37,False
2018-04-15,31,False
2018-04-22,36,False
2018-04-29,37,False
2018-05-06,37,False
2018-05-13,18,False
2018-05-20,36,False
2018-05-27,37,False
2018-06-03,24,False
2018-06-10,18,False
2018-06-17,18,False
2018-06-24,0,False
2018-07-01,19,False
2018-07-08,55,False
2018-07-15,28,False
2018-07-22,28,False
2018-07-29,53,False
2018-08-05,35,False
2018-08-12,44,False
2018-08-19,29,False
2018-08-26,24,False
2018-09-02,30,False
2018-09-09,71,False
2018-09-16,30,False
2018-09-23,36,False
2018-09-30,32,False
2018-10-07,25,False
2018-10-14,54,False
2018-10-21,35,False
2018-10-28,34,False
2018-11-04,39,False
2018-11-11,52,False
2018-11-18,56,False
2018-11-25,51,False
2018-12-02,68,False
2018-12-09,58,False
2018-12-16,100,False
2018-12-23,51,False
2018-12-30,35,False
2019-01-06,24,False
2019-01-13,40,False
2019-01-20,70,False
2019-01-27,54,False
2019-02-03,16,False
2019-02-10,44,False
2019-02-17,28,False
2019-02-24,42,False
2019-03-03,45,False
2019-03-10,27,False
2019-03-17,51,False
2019-03-24,46,False
2019-03-31,46,False
2019-04-07,45,False
2019-04-14,35,False
2019-04-21,27,False
2019-04-28,29,False
2019-05-05,22,False
2019-05-12,40,False
2019-05-19,17,False
2019-05-26,34,False
2019-06-02,34,False
2019-06-09,45,False
2019-06-16,17,False
2019-06-23,34,False
2019-06-30,17,False
2019-07-07,29,False
2019-07-14,48,False
2019-07-21,43,False
2019-07-28,36,False
2019-08-04,29,False
2019-08-11,49,False
2019-08-18,33,False
2019-08-25,22,False
2019-09-01,27,False
2019-09-08,28,False
2019-09-15,85,False
2019-09-22,27,False
2019-09-29,28,False
2019-10-06,44,False
2019-10-13,42,False
2019-10-20,74,False
2019-10-27,31,False
2019-11-03,36,False
2019-11-10,46,False
2019-11-17,41,False
2019-11-24,46,False
2019-12-01,63,False
2019-12-08,68,False
2019-12-15,48,False
2019-12-22,79,False
2019-12-29,43,False
2020-01-05,20,False
2020-01-12,53,False
2020-01-19,45,False
2020-01-26,15,False
2020-02-02,36,False
2020-02-09,36,False
2020-02-16,26,False
2020-02-23,48,False
2020-03-01,24,False
2020-03-08,47,False
2020-03-15,13,False
2020-03-22,21,False
2020-03-29,25,False
2020-04-05,23,False
2020-04-12,32,False
2020-04-19,13,False
2020-04-26,12,False
2020-05-03,17,False
2020-05-10,26,False
2020-05-17,31,True
