date,Kochkurs,isPartial
2018-01-07,31,False
2018-01-14,27,False
2018-01-21,43,False
2018-01-28,19,False
2018-02-04,47,False
2018-02-11,39,False
2018-02-18,59,False
2018-02-25,31,False
2018-03-04,19,False
2018-03-11,27,False
2018-03-18,20,False
2018-03-25,33,False
2018-04-01,36,False
2018-04-08,44,False
2018-04-15,16,False
2018-04-22,15,False
2018-04-29,24,False
2018-05-06,41,False
2018-05-13,23,False
2018-05-20,12,False
2018-05-27,45,False
2018-06-03,23,False
2018-06-10,30,False
2018-06-17,23,False
2018-06-24,43,False
2018-07-01,8,False
2018-07-08,29,False
2018-07-15,9,False
2018-07-22,37,False
2018-07-29,12,False
2018-08-05,30,False
2018-08-12,19,False
2018-08-19,26,False
2018-08-26,30,False
2018-09-02,15,False
2018-09-09,38,False
2018-09-16,23,False
2018-09-23,27,False
2018-09-30,29,False
2018-10-07,49,False
2018-10-14,46,False
2018-10-21,60,False
2018-10-28,30,False
2018-11-04,22,False
2018-11-11,49,False
2018-11-18,30,False
2018-11-25,84,False
2018-12-02,72,False
2018-12-09,69,False
2018-12-16,63,False
2018-12-23,61,False
2018-12-30,32,False
2019-01-06,61,False
2019-01-13,58,False
2019-01-20,39,False
2019-01-27,26,False
2019-02-03,22,False
2019-02-10,59,False
2019-02-17,33,False
2019-02-24,45,False
2019-03-03,26,False
2019-03-10,32,False
2019-03-17,19,False
2019-03-24,45,False
2019-03-31,23,False
2019-04-07,31,False
2019-04-14,25,False
2019-04-21,31,False
2019-04-28,22,False
2019-05-05,29,False
2019-05-12,26,False
2019-05-19,33,False
2019-05-26,19,False
2019-06-02,43,False
2019-06-09,18,False
2019-06-16,22,False
2019-06-23,26,False
2019-06-30,22,False
2019-07-07,30,False
2019-07-14,16,False
2019-07-21,16,False
2019-07-28,19,False
2019-08-04,23,False
2019-08-11,24,False
2019-08-18,18,False
2019-08-25,50,False
2019-09-01,28,False
2019-09-08,39,False
2019-09-15,28,False
2019-09-22,32,False
2019-09-29,36,False
2019-10-06,62,False
2019-10-13,24,False
2019-10-20,46,False
2019-10-27,55,False
2019-11-03,67,False
2019-11-10,44,False
2019-11-17,66,False
2019-11-24,53,False
2019-12-01,81,False
2019-12-08,100,False
2019-12-15,62,False
2019-12-22,30,False
2019-12-29,31,False
2020-01-05,41,False
2020-01-12,37,False
2020-01-19,39,False
2020-01-26,45,False
2020-02-02,19,False
2020-02-09,41,False
2020-02-16,29,False
2020-02-23,32,False
2020-03-01,36,False
2020-03-08,18,False
2020-03-15,15,False
2020-03-22,12,False
2020-03-29,12,False
2020-04-05,13,False
2020-04-12,19,False
2020-04-19,0,False
2020-04-26,15,False
2020-05-03,12,False
2020-05-10,12,False
2020-05-17,14,True
