date,noleggio tavoli,isPartial
2018-01-07,0,False
2018-01-14,65,False
2018-01-21,65,False
2018-01-28,44,False
2018-02-04,32,False
2018-02-11,0,False
2018-02-18,53,False
2018-02-25,31,False
2018-03-04,32,False
2018-03-11,21,False
2018-03-18,43,False
2018-03-25,0,False
2018-04-01,35,False
2018-04-08,43,False
2018-04-15,22,False
2018-04-22,23,False
2018-04-29,55,False
2018-05-06,0,False
2018-05-13,65,False
2018-05-20,55,False
2018-05-27,77,False
2018-06-03,44,False
2018-06-10,74,False
2018-06-17,77,False
2018-06-24,44,False
2018-07-01,65,False
2018-07-08,66,False
2018-07-15,100,False
2018-07-22,56,False
2018-07-29,23,False
2018-08-05,23,False
2018-08-12,49,False
2018-08-19,24,False
2018-08-26,34,False
2018-09-02,43,False
2018-09-09,0,False
2018-09-16,21,False
2018-09-23,43,False
2018-09-30,32,False
2018-10-07,0,False
2018-10-14,22,False
2018-10-21,22,False
2018-10-28,43,False
2018-11-04,31,False
2018-11-11,44,False
2018-11-18,32,False
2018-11-25,44,False
2018-12-02,33,False
2018-12-09,44,False
2018-12-16,69,False
2018-12-23,52,False
2018-12-30,48,False
2019-01-06,44,False
2019-01-13,21,False
2019-01-20,41,False
2019-01-27,20,False
2019-02-03,31,False
2019-02-10,42,False
2019-02-17,32,False
2019-02-24,32,False
2019-03-03,33,False
2019-03-10,32,False
2019-03-17,66,False
2019-03-24,55,False
2019-03-31,44,False
2019-04-07,53,False
2019-04-14,44,False
2019-04-21,23,False
2019-04-28,43,False
2019-05-05,63,False
2019-05-12,52,False
2019-05-19,52,False
2019-05-26,60,False
2019-06-02,32,False
2019-06-09,21,False
2019-06-16,43,False
2019-06-23,78,False
2019-06-30,44,False
2019-07-07,43,False
2019-07-14,66,False
2019-07-21,55,False
2019-07-28,56,False
2019-08-04,93,False
2019-08-11,49,False
2019-08-18,57,False
2019-08-25,21,False
2019-09-01,20,False
2019-09-08,41,False
2019-09-15,20,False
2019-09-22,50,False
2019-09-29,61,False
2019-10-06,0,False
2019-10-13,31,False
2019-10-20,20,False
2019-10-27,20,False
2019-11-03,19,False
2019-11-10,20,False
2019-11-17,29,False
2019-11-24,39,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,31,False
2019-12-22,35,False
2019-12-29,68,False
2020-01-05,20,False
2020-01-12,28,False
2020-01-19,29,False
2020-01-26,84,False
2020-02-02,37,False
2020-02-09,29,False
2020-02-16,57,False
2020-02-23,18,False
2020-03-01,18,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,17,False
2020-04-12,0,False
2020-04-19,16,False
2020-04-26,0,True
