date,film sposi,isPartial
2018-01-07,10,False
2018-01-14,10,False
2018-01-21,58,False
2018-01-28,100,False
2018-02-04,67,False
2018-02-11,34,False
2018-02-18,31,False
2018-02-25,35,False
2018-03-04,32,False
2018-03-11,16,False
2018-03-18,21,False
2018-03-25,17,False
2018-04-01,12,False
2018-04-08,11,False
2018-04-15,0,False
2018-04-22,23,False
2018-04-29,6,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,5,False
2018-05-27,0,False
2018-06-03,11,False
2018-06-10,0,False
2018-06-17,5,False
2018-06-24,5,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,6,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,6,False
2018-08-12,6,False
2018-08-19,0,False
2018-08-26,6,False
2018-09-02,0,False
2018-09-09,16,False
2018-09-16,5,False
2018-09-23,5,False
2018-09-30,5,False
2018-10-07,11,False
2018-10-14,6,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,5,False
2018-11-11,6,False
2018-11-18,11,False
2018-11-25,0,False
2018-12-02,6,False
2018-12-09,12,False
2018-12-16,6,False
2018-12-23,0,False
2018-12-30,17,False
2019-01-06,5,False
2019-01-13,16,False
2019-01-20,35,False
2019-01-27,20,False
2019-02-03,21,False
2019-02-10,5,False
2019-02-17,0,False
2019-02-24,16,False
2019-03-03,6,False
2019-03-10,5,False
2019-03-17,0,False
2019-03-24,16,False
2019-03-31,5,False
2019-04-07,0,False
2019-04-14,11,False
2019-04-21,6,False
2019-04-28,0,False
2019-05-05,16,False
2019-05-12,5,False
2019-05-19,0,False
2019-05-26,15,False
2019-06-02,5,False
2019-06-09,0,False
2019-06-16,6,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,11,False
2019-07-14,0,False
2019-07-21,6,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,12,False
2019-08-25,0,False
2019-09-01,5,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,5,False
2019-09-29,0,False
2019-10-06,5,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,9,False
2019-11-10,0,False
2019-11-17,15,False
2019-11-24,5,False
2019-12-01,5,False
2019-12-08,0,False
2019-12-15,21,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,5,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,5,False
2020-02-02,5,False
2020-02-09,0,False
2020-02-16,5,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,4,False
2020-03-15,8,False
2020-03-22,8,False
2020-03-29,4,False
2020-04-05,4,False
2020-04-12,0,False
2020-04-19,23,False
2020-04-26,41,True
