date,entretien climatisation,isPartial
2018-01-07,10,False
2018-01-14,14,False
2018-01-21,12,False
2018-01-28,13,False
2018-02-04,8,False
2018-02-11,10,False
2018-02-18,8,False
2018-02-25,8,False
2018-03-04,17,False
2018-03-11,10,False
2018-03-18,13,False
2018-03-25,15,False
2018-04-01,7,False
2018-04-08,17,False
2018-04-15,14,False
2018-04-22,25,False
2018-04-29,12,False
2018-05-06,15,False
2018-05-13,18,False
2018-05-20,25,False
2018-05-27,18,False
2018-06-03,19,False
2018-06-10,22,False
2018-06-17,49,False
2018-06-24,39,False
2018-07-01,48,False
2018-07-08,32,False
2018-07-15,24,False
2018-07-22,48,False
2018-07-29,37,False
2018-08-05,30,False
2018-08-12,18,False
2018-08-19,11,False
2018-08-26,13,False
2018-09-02,25,False
2018-09-09,15,False
2018-09-16,20,False
2018-09-23,21,False
2018-09-30,15,False
2018-10-07,12,False
2018-10-14,15,False
2018-10-21,13,False
2018-10-28,18,False
2018-11-04,12,False
2018-11-11,18,False
2018-11-18,16,False
2018-11-25,10,False
2018-12-02,5,False
2018-12-09,10,False
2018-12-16,18,False
2018-12-23,11,False
2018-12-30,9,False
2019-01-06,8,False
2019-01-13,13,False
2019-01-20,19,False
2019-01-27,9,False
2019-02-03,12,False
2019-02-10,15,False
2019-02-17,10,False
2019-02-24,11,False
2019-03-03,19,False
2019-03-10,13,False
2019-03-17,13,False
2019-03-24,8,False
2019-03-31,19,False
2019-04-07,10,False
2019-04-14,15,False
2019-04-21,15,False
2019-04-28,10,False
2019-05-05,17,False
2019-05-12,14,False
2019-05-19,19,False
2019-05-26,23,False
2019-06-02,45,False
2019-06-09,15,False
2019-06-16,35,False
2019-06-23,100,False
2019-06-30,71,False
2019-07-07,40,False
2019-07-14,26,False
2019-07-21,50,False
2019-07-28,15,False
2019-08-04,19,False
2019-08-11,19,False
2019-08-18,22,False
2019-08-25,21,False
2019-09-01,15,False
2019-09-08,14,False
2019-09-15,18,False
2019-09-22,13,False
2019-09-29,13,False
2019-10-06,9,False
2019-10-13,13,False
2019-10-20,20,False
2019-10-27,15,False
2019-11-03,10,False
2019-11-10,16,False
2019-11-17,9,False
2019-11-24,14,False
2019-12-01,6,False
2019-12-08,11,False
2019-12-15,14,False
2019-12-22,10,False
2019-12-29,12,False
2020-01-05,11,False
2020-01-12,7,False
2020-01-19,19,False
2020-01-26,15,False
2020-02-02,13,False
2020-02-09,15,False
2020-02-16,14,False
2020-02-23,11,False
2020-03-01,17,False
2020-03-08,12,False
2020-03-15,4,False
2020-03-22,15,False
2020-03-29,7,False
2020-04-05,16,False
2020-04-12,8,False
2020-04-19,10,False
2020-04-26,11,False
2020-05-03,18,False
2020-05-10,19,False
2020-05-17,30,False
2020-05-24,31,False
2020-05-31,38,False
2020-06-07,16,False
2020-06-14,25,False
