date,entretien climatisation,isPartial
2018-01-07,7,False
2018-01-14,12,False
2018-01-21,12,False
2018-01-28,10,False
2018-02-04,12,False
2018-02-11,8,False
2018-02-18,14,False
2018-02-25,17,False
2018-03-04,10,False
2018-03-11,14,False
2018-03-18,14,False
2018-03-25,14,False
2018-04-01,10,False
2018-04-08,14,False
2018-04-15,20,False
2018-04-22,12,False
2018-04-29,14,False
2018-05-06,9,False
2018-05-13,12,False
2018-05-20,12,False
2018-05-27,34,False
2018-06-03,27,False
2018-06-10,21,False
2018-06-17,38,False
2018-06-24,40,False
2018-07-01,42,False
2018-07-08,25,False
2018-07-15,13,False
2018-07-22,48,False
2018-07-29,56,False
2018-08-05,30,False
2018-08-12,15,False
2018-08-19,11,False
2018-08-26,20,False
2018-09-02,14,False
2018-09-09,14,False
2018-09-16,18,False
2018-09-23,24,False
2018-09-30,10,False
2018-10-07,19,False
2018-10-14,9,False
2018-10-21,11,False
2018-10-28,16,False
2018-11-04,8,False
2018-11-11,14,False
2018-11-18,12,False
2018-11-25,12,False
2018-12-02,10,False
2018-12-09,8,False
2018-12-16,11,False
2018-12-23,6,False
2018-12-30,15,False
2019-01-06,23,False
2019-01-13,14,False
2019-01-20,8,False
2019-01-27,10,False
2019-02-03,10,False
2019-02-10,10,False
2019-02-17,14,False
2019-02-24,21,False
2019-03-03,17,False
2019-03-10,13,False
2019-03-17,16,False
2019-03-24,11,False
2019-03-31,19,False
2019-04-07,5,False
2019-04-14,25,False
2019-04-21,16,False
2019-04-28,8,False
2019-05-05,15,False
2019-05-12,12,False
2019-05-19,17,False
2019-05-26,28,False
2019-06-02,39,False
2019-06-09,20,False
2019-06-16,29,False
2019-06-23,100,False
2019-06-30,74,False
2019-07-07,28,False
2019-07-14,33,False
2019-07-21,76,False
2019-07-28,20,False
2019-08-04,13,False
2019-08-11,27,False
2019-08-18,18,False
2019-08-25,17,False
2019-09-01,15,False
2019-09-08,10,False
2019-09-15,18,False
2019-09-22,13,False
2019-09-29,12,False
2019-10-06,19,False
2019-10-13,11,False
2019-10-20,22,False
2019-10-27,7,False
2019-11-03,9,False
2019-11-10,11,False
2019-11-17,14,False
2019-11-24,12,False
2019-12-01,9,False
2019-12-08,11,False
2019-12-15,11,False
2019-12-22,12,False
2019-12-29,10,False
2020-01-05,15,False
2020-01-12,13,False
2020-01-19,9,False
2020-01-26,24,False
2020-02-02,18,False
2020-02-09,12,False
2020-02-16,16,False
2020-02-23,9,False
2020-03-01,21,False
2020-03-08,10,False
2020-03-15,8,False
2020-03-22,0,False
2020-03-29,13,False
2020-04-05,7,False
2020-04-12,8,False
2020-04-19,7,False
2020-04-26,13,False
2020-05-03,21,False
2020-05-10,25,False
2020-05-17,24,False
2020-05-24,32,False
2020-05-31,34,False
2020-06-07,19,False
2020-06-14,28,False
2020-06-21,52,True
