date,Steinfiguren Garten,isPartial
2018-01-07,19,False
2018-01-14,37,False
2018-01-21,0,False
2018-01-28,28,False
2018-02-04,38,False
2018-02-11,19,False
2018-02-18,0,False
2018-02-25,19,False
2018-03-04,19,False
2018-03-11,57,False
2018-03-18,19,False
2018-03-25,20,False
2018-04-01,20,False
2018-04-08,46,False
2018-04-15,27,False
2018-04-22,38,False
2018-04-29,60,False
2018-05-06,40,False
2018-05-13,29,False
2018-05-20,41,False
2018-05-27,20,False
2018-06-03,19,False
2018-06-10,37,False
2018-06-17,38,False
2018-06-24,20,False
2018-07-01,38,False
2018-07-08,19,False
2018-07-15,0,False
2018-07-22,40,False
2018-07-29,50,False
2018-08-05,33,False
2018-08-12,100,False
2018-08-19,20,False
2018-08-26,0,False
2018-09-02,52,False
2018-09-09,39,False
2018-09-16,58,False
2018-09-23,39,False
2018-09-30,19,False
2018-10-07,38,False
2018-10-14,0,False
2018-10-21,19,False
2018-10-28,0,False
2018-11-04,18,False
2018-11-11,19,False
2018-11-18,18,False
2018-11-25,0,False
2018-12-02,37,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,44,False
2018-12-30,20,False
2019-01-06,18,False
2019-01-13,18,False
2019-01-20,0,False
2019-01-27,18,False
2019-02-03,36,False
2019-02-10,18,False
2019-02-17,36,False
2019-02-24,19,False
2019-03-03,18,False
2019-03-10,36,False
2019-03-17,65,False
2019-03-24,31,False
2019-03-31,56,False
2019-04-07,18,False
2019-04-14,50,False
2019-04-21,32,False
2019-04-28,45,False
2019-05-05,30,False
2019-05-12,18,False
2019-05-19,36,False
2019-05-26,37,False
2019-06-02,36,False
2019-06-09,56,False
2019-06-16,25,False
2019-06-23,31,False
2019-06-30,28,False
2019-07-07,30,False
2019-07-14,38,False
2019-07-21,20,False
2019-07-28,29,False
2019-08-04,29,False
2019-08-11,37,False
2019-08-18,38,False
2019-08-25,37,False
2019-09-01,36,False
2019-09-08,24,False
2019-09-15,18,False
2019-09-22,35,False
2019-09-29,36,False
2019-10-06,18,False
2019-10-13,29,False
2019-10-20,17,False
2019-10-27,17,False
2019-11-03,17,False
2019-11-10,0,False
2019-11-17,17,False
2019-11-24,33,False
2019-12-01,26,False
2019-12-08,0,False
2019-12-15,17,False
2019-12-22,0,False
2019-12-29,18,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,16,False
2020-01-26,16,False
2020-02-02,32,False
2020-02-09,48,False
2020-02-16,16,False
2020-02-23,24,False
2020-03-01,16,False
2020-03-08,25,False
2020-03-15,44,False
2020-03-22,19,False
2020-03-29,22,False
2020-04-05,37,False
2020-04-12,51,False
2020-04-19,29,False
2020-04-26,57,False
2020-05-03,58,False
2020-05-10,44,False
