date,desatascar tuberías,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,64,False
2018-01-28,0,False
2018-02-04,96,False
2018-02-11,33,False
2018-02-18,33,False
2018-02-25,31,False
2018-03-04,32,False
2018-03-11,31,False
2018-03-18,0,False
2018-03-25,36,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,32,False
2018-04-22,47,False
2018-04-29,0,False
2018-05-06,32,False
2018-05-13,33,False
2018-05-20,64,False
2018-05-27,32,False
2018-06-03,31,False
2018-06-10,30,False
2018-06-17,33,False
2018-06-24,0,False
2018-07-01,100,False
2018-07-08,33,False
2018-07-15,34,False
2018-07-22,0,False
2018-07-29,51,False
2018-08-05,0,False
2018-08-12,70,False
2018-08-19,35,False
2018-08-26,33,False
2018-09-02,32,False
2018-09-09,32,False
2018-09-16,0,False
2018-09-23,31,False
2018-09-30,0,False
2018-10-07,33,False
2018-10-14,0,False
2018-10-21,32,False
2018-10-28,32,False
2018-11-04,30,False
2018-11-11,62,False
2018-11-18,30,False
2018-11-25,31,False
2018-12-02,0,False
2018-12-09,32,False
2018-12-16,65,False
2018-12-23,74,False
2018-12-30,36,False
2019-01-06,65,False
2019-01-13,31,False
2019-01-20,29,False
2019-01-27,44,False
2019-02-03,47,False
2019-02-10,47,False
2019-02-17,0,False
2019-02-24,41,False
2019-03-03,48,False
2019-03-10,32,False
2019-03-17,32,False
2019-03-24,0,False
2019-03-31,41,False
2019-04-07,62,False
2019-04-14,65,False
2019-04-21,47,False
2019-04-28,63,False
2019-05-05,31,False
2019-05-12,30,False
2019-05-19,31,False
2019-05-26,30,False
2019-06-02,0,False
2019-06-09,45,False
2019-06-16,62,False
2019-06-23,64,False
2019-06-30,32,False
2019-07-07,0,False
2019-07-14,32,False
2019-07-21,0,False
2019-07-28,45,False
2019-08-04,33,False
2019-08-11,67,False
2019-08-18,65,False
2019-08-25,31,False
2019-09-01,30,False
2019-09-08,0,False
2019-09-15,29,False
2019-09-22,0,False
2019-09-29,39,False
2019-10-06,0,False
2019-10-13,28,False
2019-10-20,0,False
2019-10-27,28,False
2019-11-03,56,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,27,False
2019-12-01,29,False
2019-12-08,0,False
2019-12-15,28,False
2019-12-22,48,False
2019-12-29,31,False
2020-01-05,57,False
2020-01-12,26,False
2020-01-19,52,False
2020-01-26,40,False
2020-02-02,41,False
2020-02-09,27,False
2020-02-16,40,False
2020-02-23,27,False
2020-03-01,43,False
2020-03-08,25,False
2020-03-15,38,False
2020-03-22,47,False
2020-03-29,23,False
2020-04-05,50,False
2020-04-12,32,False
2020-04-19,69,False
2020-04-26,39,False
2020-05-03,46,False
2020-05-10,35,False
2020-05-17,28,True
