date,piscine à débordement,isPartial
2018-01-07,0,False
2018-01-14,33,False
2018-01-21,33,False
2018-01-28,33,False
2018-02-04,33,False
2018-02-11,33,False
2018-02-18,34,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,33,False
2018-03-18,34,False
2018-03-25,34,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,54,False
2018-04-22,69,False
2018-04-29,35,False
2018-05-06,53,False
2018-05-13,67,False
2018-05-20,69,False
2018-05-27,66,False
2018-06-03,100,False
2018-06-10,32,False
2018-06-17,34,False
2018-06-24,56,False
2018-07-01,33,False
2018-07-08,35,False
2018-07-15,72,False
2018-07-22,48,False
2018-07-29,86,False
2018-08-05,37,False
2018-08-12,76,False
2018-08-19,49,False
2018-08-26,35,False
2018-09-02,69,False
2018-09-09,69,False
2018-09-16,0,False
2018-09-23,68,False
2018-09-30,0,False
2018-10-07,52,False
2018-10-14,34,False
2018-10-21,46,False
2018-10-28,34,False
2018-11-04,66,False
2018-11-11,33,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,34,False
2018-12-09,34,False
2018-12-16,34,False
2018-12-23,39,False
2018-12-30,37,False
2019-01-06,33,False
2019-01-13,67,False
2019-01-20,32,False
2019-01-27,43,False
2019-02-03,0,False
2019-02-10,34,False
2019-02-17,34,False
2019-02-24,34,False
2019-03-03,65,False
2019-03-10,33,False
2019-03-17,46,False
2019-03-24,34,False
2019-03-31,33,False
2019-04-07,0,False
2019-04-14,69,False
2019-04-21,34,False
2019-04-28,34,False
2019-05-05,33,False
2019-05-12,0,False
2019-05-19,33,False
2019-05-26,0,False
2019-06-02,62,False
2019-06-09,32,False
2019-06-16,33,False
2019-06-23,49,False
2019-06-30,33,False
2019-07-07,66,False
2019-07-14,57,False
2019-07-21,69,False
2019-07-28,36,False
2019-08-04,89,False
2019-08-11,53,False
2019-08-18,47,False
2019-08-25,55,False
2019-09-01,48,False
2019-09-08,32,False
2019-09-15,32,False
2019-09-22,30,False
2019-09-29,31,False
2019-10-06,62,False
2019-10-13,46,False
2019-10-20,41,False
2019-10-27,31,False
2019-11-03,30,False
2019-11-10,31,False
2019-11-17,60,False
2019-11-24,0,False
2019-12-01,30,False
2019-12-08,0,False
2019-12-15,30,False
2019-12-22,34,False
2019-12-29,32,False
2020-01-05,58,False
2020-01-12,57,False
2020-01-19,58,False
2020-01-26,0,False
2020-02-02,29,False
2020-02-09,58,False
2020-02-16,29,False
2020-02-23,28,False
2020-03-01,56,False
2020-03-08,28,False
2020-03-15,27,False
2020-03-22,52,False
2020-03-29,26,False
2020-04-05,60,False
2020-04-12,35,False
2020-04-19,77,False
2020-04-26,49,False
2020-05-03,41,False
2020-05-10,26,False
2020-05-17,65,True
