date,pastel boda,isPartial
2018-01-07,40,False
2018-01-14,0,False
2018-01-21,39,False
2018-01-28,39,False
2018-02-04,0,False
2018-02-11,39,False
2018-02-18,39,False
2018-02-25,0,False
2018-03-04,78,False
2018-03-11,58,False
2018-03-18,0,False
2018-03-25,88,False
2018-04-01,81,False
2018-04-08,74,False
2018-04-15,59,False
2018-04-22,39,False
2018-04-29,58,False
2018-05-06,73,False
2018-05-13,58,False
2018-05-20,79,False
2018-05-27,76,False
2018-06-03,37,False
2018-06-10,37,False
2018-06-17,40,False
2018-06-24,60,False
2018-07-01,39,False
2018-07-08,39,False
2018-07-15,40,False
2018-07-22,0,False
2018-07-29,42,False
2018-08-05,42,False
2018-08-12,0,False
2018-08-19,44,False
2018-08-26,41,False
2018-09-02,0,False
2018-09-09,80,False
2018-09-16,38,False
2018-09-23,0,False
2018-09-30,39,False
2018-10-07,39,False
2018-10-14,38,False
2018-10-21,0,False
2018-10-28,81,False
2018-11-04,38,False
2018-11-11,76,False
2018-11-18,38,False
2018-11-25,39,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,48,False
2018-12-30,0,False
2019-01-06,40,False
2019-01-13,38,False
2019-01-20,37,False
2019-01-27,38,False
2019-02-03,38,False
2019-02-10,39,False
2019-02-17,39,False
2019-02-24,38,False
2019-03-03,0,False
2019-03-10,38,False
2019-03-17,39,False
2019-03-24,39,False
2019-03-31,37,False
2019-04-07,0,False
2019-04-14,41,False
2019-04-21,57,False
2019-04-28,73,False
2019-05-05,74,False
2019-05-12,36,False
2019-05-19,36,False
2019-05-26,0,False
2019-06-02,36,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,55,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,83,False
2019-08-18,0,False
2019-08-25,77,False
2019-09-01,0,False
2019-09-08,71,False
2019-09-15,35,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,34,False
2019-10-20,34,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,53,False
2019-11-24,34,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,100,False
2020-01-19,49,False
2020-01-26,50,False
2020-02-02,34,False
2020-02-09,34,False
2020-02-16,34,False
2020-02-23,66,False
2020-03-01,32,False
2020-03-08,32,False
2020-03-15,0,False
2020-03-22,31,False
2020-03-29,0,False
2020-04-05,33,False
2020-04-12,0,True
