date,ilusionista,isPartial
2018-01-07,12,False
2018-01-14,22,False
2018-01-21,24,False
2018-01-28,10,False
2018-02-04,10,False
2018-02-11,15,False
2018-02-18,24,False
2018-02-25,16,False
2018-03-04,18,False
2018-03-11,42,False
2018-03-18,93,False
2018-03-25,61,False
2018-04-01,43,False
2018-04-08,36,False
2018-04-15,65,False
2018-04-22,42,False
2018-04-29,31,False
2018-05-06,28,False
2018-05-13,27,False
2018-05-20,39,False
2018-05-27,47,False
2018-06-03,39,False
2018-06-10,45,False
2018-06-17,17,False
2018-06-24,42,False
2018-07-01,12,False
2018-07-08,27,False
2018-07-15,20,False
2018-07-22,14,False
2018-07-29,40,False
2018-08-05,37,False
2018-08-12,15,False
2018-08-19,24,False
2018-08-26,16,False
2018-09-02,20,False
2018-09-09,22,False
2018-09-16,18,False
2018-09-23,16,False
2018-09-30,13,False
2018-10-07,12,False
2018-10-14,18,False
2018-10-21,20,False
2018-10-28,21,False
2018-11-04,22,False
2018-11-11,52,False
2018-11-18,24,False
2018-11-25,23,False
2018-12-02,23,False
2018-12-09,21,False
2018-12-16,19,False
2018-12-23,32,False
2018-12-30,28,False
2019-01-06,22,False
2019-01-13,32,False
2019-01-20,23,False
2019-01-27,19,False
2019-02-03,25,False
2019-02-10,18,False
2019-02-17,30,False
2019-02-24,31,False
2019-03-03,22,False
2019-03-10,15,False
2019-03-17,22,False
2019-03-24,12,False
2019-03-31,18,False
2019-04-07,29,False
2019-04-14,24,False
2019-04-21,20,False
2019-04-28,24,False
2019-05-05,24,False
2019-05-12,16,False
2019-05-19,11,False
2019-05-26,9,False
2019-06-02,100,False
2019-06-09,20,False
2019-06-16,10,False
2019-06-23,18,False
2019-06-30,17,False
2019-07-07,18,False
2019-07-14,15,False
2019-07-21,15,False
2019-07-28,11,False
2019-08-04,9,False
2019-08-11,23,False
2019-08-18,36,False
2019-08-25,28,False
2019-09-01,16,False
2019-09-08,9,False
2019-09-15,21,False
2019-09-22,8,False
2019-09-29,12,False
2019-10-06,21,False
2019-10-13,10,False
2019-10-20,13,False
2019-10-27,15,False
2019-11-03,22,False
2019-11-10,15,False
2019-11-17,67,False
2019-11-24,43,False
2019-12-01,20,False
2019-12-08,17,False
2019-12-15,12,False
2019-12-22,13,False
2019-12-29,26,False
2020-01-05,30,False
2020-01-12,15,False
2020-01-19,8,False
2020-01-26,10,False
2020-02-02,10,False
2020-02-09,11,False
2020-02-16,11,False
2020-02-23,17,False
2020-03-01,7,False
2020-03-08,19,False
2020-03-15,25,False
2020-03-22,21,False
2020-03-29,12,False
2020-04-05,25,False
2020-04-12,11,True
