date,ilusionista,isPartial
2018-01-07,13,False
2018-01-14,25,False
2018-01-21,13,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,13,False
2018-02-18,19,False
2018-02-25,12,False
2018-03-04,12,False
2018-03-11,12,False
2018-03-18,78,False
2018-03-25,100,False
2018-04-01,32,False
2018-04-08,61,False
2018-04-15,87,False
2018-04-22,37,False
2018-04-29,14,False
2018-05-06,25,False
2018-05-13,65,False
2018-05-20,31,False
2018-05-27,36,False
2018-06-03,25,False
2018-06-10,37,False
2018-06-17,26,False
2018-06-24,33,False
2018-07-01,14,False
2018-07-08,71,False
2018-07-15,15,False
2018-07-22,23,False
2018-07-29,48,False
2018-08-05,34,False
2018-08-12,18,False
2018-08-19,26,False
2018-08-26,0,False
2018-09-02,13,False
2018-09-09,0,False
2018-09-16,25,False
2018-09-23,18,False
2018-09-30,18,False
2018-10-07,13,False
2018-10-14,12,False
2018-10-21,0,False
2018-10-28,13,False
2018-11-04,11,False
2018-11-11,46,False
2018-11-18,23,False
2018-11-25,34,False
2018-12-02,30,False
2018-12-09,12,False
2018-12-16,50,False
2018-12-23,38,False
2018-12-30,33,False
2019-01-06,25,False
2019-01-13,24,False
2019-01-20,11,False
2019-01-27,11,False
2019-02-03,36,False
2019-02-10,35,False
2019-02-17,36,False
2019-02-24,16,False
2019-03-03,25,False
2019-03-10,12,False
2019-03-17,0,False
2019-03-24,19,False
2019-03-31,18,False
2019-04-07,53,False
2019-04-14,23,False
2019-04-21,12,False
2019-04-28,13,False
2019-05-05,22,False
2019-05-12,12,False
2019-05-19,18,False
2019-05-26,11,False
2019-06-02,51,False
2019-06-09,11,False
2019-06-16,12,False
2019-06-23,19,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,14,False
2019-07-21,27,False
2019-07-28,23,False
2019-08-04,17,False
2019-08-11,27,False
2019-08-18,17,False
2019-08-25,14,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,11,False
2019-09-22,0,False
2019-09-29,11,False
2019-10-06,11,False
2019-10-13,0,False
2019-10-20,22,False
2019-10-27,11,False
2019-11-03,21,False
2019-11-10,0,False
2019-11-17,75,False
2019-11-24,31,False
2019-12-01,11,False
2019-12-08,17,False
2019-12-15,33,False
2019-12-22,13,False
2019-12-29,26,False
2020-01-05,11,False
2020-01-12,10,False
2020-01-19,0,False
2020-01-26,10,False
2020-02-02,16,False
2020-02-09,10,False
2020-02-16,42,False
2020-02-23,10,False
2020-03-01,20,False
2020-03-08,20,False
2020-03-15,26,False
2020-03-22,20,False
2020-03-29,30,False
2020-04-05,16,False
2020-04-12,0,True
