date,ilusionista,isPartial
2018-01-07,37,False
2018-01-14,0,False
2018-01-21,26,False
2018-01-28,0,False
2018-02-04,25,False
2018-02-11,52,False
2018-02-18,26,False
2018-02-25,35,False
2018-03-04,35,False
2018-03-11,47,False
2018-03-18,100,False
2018-03-25,55,False
2018-04-01,74,False
2018-04-08,36,False
2018-04-15,26,False
2018-04-22,37,False
2018-04-29,38,False
2018-05-06,62,False
2018-05-13,26,False
2018-05-20,50,False
2018-05-27,26,False
2018-06-03,86,False
2018-06-10,60,False
2018-06-17,26,False
2018-06-24,38,False
2018-07-01,26,False
2018-07-08,0,False
2018-07-15,26,False
2018-07-22,39,False
2018-07-29,38,False
2018-08-05,73,False
2018-08-12,25,False
2018-08-19,25,False
2018-08-26,49,False
2018-09-02,49,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,25,False
2018-09-30,25,False
2018-10-07,25,False
2018-10-14,24,False
2018-10-21,0,False
2018-10-28,25,False
2018-11-04,72,False
2018-11-11,62,False
2018-11-18,34,False
2018-11-25,0,False
2018-12-02,80,False
2018-12-09,26,False
2018-12-16,39,False
2018-12-23,29,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,23,False
2019-01-27,47,False
2019-02-03,25,False
2019-02-10,49,False
2019-02-17,37,False
2019-02-24,26,False
2019-03-03,25,False
2019-03-10,26,False
2019-03-17,38,False
2019-03-24,25,False
2019-03-31,24,False
2019-04-07,0,False
2019-04-14,24,False
2019-04-21,23,False
2019-04-28,0,False
2019-05-05,25,False
2019-05-12,0,False
2019-05-19,25,False
2019-05-26,24,False
2019-06-02,72,False
2019-06-09,0,False
2019-06-16,50,False
2019-06-23,0,False
2019-06-30,25,False
2019-07-07,24,False
2019-07-14,50,False
2019-07-21,25,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,48,False
2019-08-18,95,False
2019-08-25,46,False
2019-09-01,46,False
2019-09-08,23,False
2019-09-15,46,False
2019-09-22,35,False
2019-09-29,47,False
2019-10-06,0,False
2019-10-13,68,False
2019-10-20,0,False
2019-10-27,22,False
2019-11-03,44,False
2019-11-10,44,False
2019-11-17,97,False
2019-11-24,86,False
2019-12-01,23,False
2019-12-08,24,False
2019-12-15,42,False
2019-12-22,0,False
2019-12-29,48,False
2020-01-05,45,False
2020-01-12,31,False
2020-01-19,20,False
2020-01-26,21,False
2020-02-02,21,False
2020-02-09,32,False
2020-02-16,21,False
2020-02-23,21,False
2020-03-01,62,False
2020-03-08,30,False
2020-03-15,38,False
2020-03-22,18,False
2020-03-29,18,False
2020-04-05,0,False
2020-04-12,46,True
