date,Jalousien Reparatur,isPartial
2018-01-07,65,False
2018-01-14,32,False
2018-01-21,32,False
2018-01-28,32,False
2018-02-04,44,False
2018-02-11,33,False
2018-02-18,33,False
2018-02-25,32,False
2018-03-04,33,False
2018-03-11,0,False
2018-03-18,44,False
2018-03-25,47,False
2018-04-01,35,False
2018-04-08,0,False
2018-04-15,34,False
2018-04-22,50,False
2018-04-29,34,False
2018-05-06,0,False
2018-05-13,33,False
2018-05-20,35,False
2018-05-27,0,False
2018-06-03,67,False
2018-06-10,0,False
2018-06-17,49,False
2018-06-24,34,False
2018-07-01,50,False
2018-07-08,0,False
2018-07-15,45,False
2018-07-22,34,False
2018-07-29,46,False
2018-08-05,51,False
2018-08-12,86,False
2018-08-19,34,False
2018-08-26,45,False
2018-09-02,34,False
2018-09-09,67,False
2018-09-16,33,False
2018-09-23,0,False
2018-09-30,33,False
2018-10-07,50,False
2018-10-14,66,False
2018-10-21,49,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,32,False
2018-11-25,48,False
2018-12-02,53,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,38,False
2018-12-30,34,False
2019-01-06,51,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,30,False
2019-02-03,31,False
2019-02-10,42,False
2019-02-17,0,False
2019-02-24,32,False
2019-03-03,47,False
2019-03-10,30,False
2019-03-17,48,False
2019-03-24,42,False
2019-03-31,32,False
2019-04-07,31,False
2019-04-14,0,False
2019-04-21,33,False
2019-04-28,31,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,62,False
2019-05-26,32,False
2019-06-02,62,False
2019-06-09,32,False
2019-06-16,80,False
2019-06-23,95,False
2019-06-30,0,False
2019-07-07,31,False
2019-07-14,43,False
2019-07-21,34,False
2019-07-28,33,False
2019-08-04,33,False
2019-08-11,0,False
2019-08-18,32,False
2019-08-25,64,False
2019-09-01,31,False
2019-09-08,0,False
2019-09-15,47,False
2019-09-22,31,False
2019-09-29,31,False
2019-10-06,0,False
2019-10-13,45,False
2019-10-20,30,False
2019-10-27,29,False
2019-11-03,29,False
2019-11-10,29,False
2019-11-17,29,False
2019-11-24,43,False
2019-12-01,29,False
2019-12-08,29,False
2019-12-15,30,False
2019-12-22,0,False
2019-12-29,47,False
2020-01-05,28,False
2020-01-12,64,False
2020-01-19,28,False
2020-01-26,28,False
2020-02-02,27,False
2020-02-09,36,False
2020-02-16,57,False
2020-02-23,55,False
2020-03-01,27,False
2020-03-08,51,False
2020-03-15,25,False
2020-03-22,75,False
2020-03-29,25,False
2020-04-05,0,False
2020-04-12,52,False
2020-04-19,38,False
2020-04-26,25,False
2020-05-03,25,False
2020-05-10,100,False
