date,Sicherheitstechnik,isPartial
2018-01-07,0,False
2018-01-14,23,False
2018-01-21,23,False
2018-01-28,47,False
2018-02-04,24,False
2018-02-11,24,False
2018-02-18,23,False
2018-02-25,23,False
2018-03-04,46,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,49,False
2018-04-22,24,False
2018-04-29,0,False
2018-05-06,50,False
2018-05-13,47,False
2018-05-20,25,False
2018-05-27,47,False
2018-06-03,24,False
2018-06-10,46,False
2018-06-17,24,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,51,False
2018-07-15,0,False
2018-07-22,27,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,24,False
2018-09-09,0,False
2018-09-16,47,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,76,False
2018-10-14,100,False
2018-10-21,24,False
2018-10-28,0,False
2018-11-04,23,False
2018-11-11,0,False
2018-11-18,23,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,22,False
2019-01-13,22,False
2019-01-20,22,False
2019-01-27,44,False
2019-02-03,0,False
2019-02-10,23,False
2019-02-17,0,False
2019-02-24,23,False
2019-03-03,22,False
2019-03-10,23,False
2019-03-17,23,False
2019-03-24,0,False
2019-03-31,46,False
2019-04-07,21,False
2019-04-14,75,False
2019-04-21,0,False
2019-04-28,22,False
2019-05-05,66,False
2019-05-12,45,False
2019-05-19,45,False
2019-05-26,48,False
2019-06-02,0,False
2019-06-09,45,False
2019-06-16,46,False
2019-06-23,25,False
2019-06-30,47,False
2019-07-07,0,False
2019-07-14,26,False
2019-07-21,28,False
2019-07-28,56,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,23,False
2019-09-01,65,False
2019-09-08,46,False
2019-09-15,45,False
2019-09-22,22,False
2019-09-29,45,False
2019-10-06,68,False
2019-10-13,0,False
2019-10-20,65,False
2019-10-27,43,False
2019-11-03,21,False
2019-11-10,43,False
2019-11-17,0,False
2019-11-24,42,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,22,False
2019-12-22,26,False
2019-12-29,0,False
2020-01-05,20,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,20,False
2020-02-02,41,False
2020-02-09,21,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,38,False
2020-03-15,0,False
2020-03-22,19,False
2020-03-29,0,False
2020-04-05,82,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,False
2020-05-03,0,False
2020-05-10,19,False
2020-05-17,21,False
2020-05-24,20,False
2020-05-31,19,False
2020-06-07,0,False
2020-06-14,19,False
2020-06-21,21,False
2020-06-28,61,False
2020-07-05,0,False
