date,Sicherheitstechnik,isPartial
2018-01-07,55,False
2018-01-14,28,False
2018-01-21,28,False
2018-01-28,28,False
2018-02-04,0,False
2018-02-11,43,False
2018-02-18,71,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,28,False
2018-03-18,28,False
2018-03-25,31,False
2018-04-01,31,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,27,False
2018-04-29,29,False
2018-05-06,30,False
2018-05-13,29,False
2018-05-20,30,False
2018-05-27,29,False
2018-06-03,57,False
2018-06-10,27,False
2018-06-17,0,False
2018-06-24,42,False
2018-07-01,30,False
2018-07-08,0,False
2018-07-15,32,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,32,False
2018-08-26,61,False
2018-09-02,0,False
2018-09-09,29,False
2018-09-16,29,False
2018-09-23,0,False
2018-09-30,55,False
2018-10-07,0,False
2018-10-14,40,False
2018-10-21,54,False
2018-10-28,28,False
2018-11-04,27,False
2018-11-11,26,False
2018-11-18,0,False
2018-11-25,38,False
2018-12-02,52,False
2018-12-09,26,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,41,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,29,False
2019-02-10,28,False
2019-02-17,28,False
2019-02-24,41,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,28,False
2019-03-31,28,False
2019-04-07,28,False
2019-04-14,61,False
2019-04-21,30,False
2019-04-28,28,False
2019-05-05,27,False
2019-05-12,54,False
2019-05-19,27,False
2019-05-26,28,False
2019-06-02,57,False
2019-06-09,30,False
2019-06-16,29,False
2019-06-23,29,False
2019-06-30,30,False
2019-07-07,0,False
2019-07-14,31,False
2019-07-21,33,False
2019-07-28,97,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,31,False
2019-08-25,30,False
2019-09-01,42,False
2019-09-08,72,False
2019-09-15,41,False
2019-09-22,78,False
2019-09-29,0,False
2019-10-06,26,False
2019-10-13,26,False
2019-10-20,25,False
2019-10-27,0,False
2019-11-03,37,False
2019-11-10,0,False
2019-11-17,24,False
2019-11-24,49,False
2019-12-01,37,False
2019-12-08,25,False
2019-12-15,26,False
2019-12-22,64,False
2019-12-29,49,False
2020-01-05,43,False
2020-01-12,24,False
2020-01-19,24,False
2020-01-26,24,False
2020-02-02,52,False
2020-02-09,50,False
2020-02-16,48,False
2020-02-23,23,False
2020-03-01,23,False
2020-03-08,34,False
2020-03-15,48,False
2020-03-22,100,False
2020-03-29,26,False
2020-04-05,28,False
2020-04-12,54,False
2020-04-19,26,False
2020-04-26,53,False
2020-05-03,25,False
2020-05-10,25,False
2020-05-17,0,False
2020-05-24,25,False
2020-05-31,0,False
2020-06-07,0,False
2020-06-14,48,False
2020-06-21,24,False
2020-06-28,62,False
2020-07-05,0,False
