date,Badewanne einbauen,isPartial
2018-01-07,73,False
2018-01-14,71,False
2018-01-21,41,False
2018-01-28,83,False
2018-02-04,42,False
2018-02-11,42,False
2018-02-18,42,False
2018-02-25,52,False
2018-03-04,42,False
2018-03-11,21,False
2018-03-18,53,False
2018-03-25,100,False
2018-04-01,22,False
2018-04-08,65,False
2018-04-15,0,False
2018-04-22,21,False
2018-04-29,22,False
2018-05-06,56,False
2018-05-13,32,False
2018-05-20,67,False
2018-05-27,54,False
2018-06-03,32,False
2018-06-10,51,False
2018-06-17,0,False
2018-06-24,32,False
2018-07-01,21,False
2018-07-08,21,False
2018-07-15,43,False
2018-07-22,22,False
2018-07-29,54,False
2018-08-05,22,False
2018-08-12,44,False
2018-08-19,44,False
2018-08-26,54,False
2018-09-02,32,False
2018-09-09,32,False
2018-09-16,21,False
2018-09-23,43,False
2018-09-30,32,False
2018-10-07,32,False
2018-10-14,84,False
2018-10-21,73,False
2018-10-28,31,False
2018-11-04,20,False
2018-11-11,62,False
2018-11-18,80,False
2018-11-25,20,False
2018-12-02,41,False
2018-12-09,20,False
2018-12-16,42,False
2018-12-23,36,False
2018-12-30,44,False
2019-01-06,58,False
2019-01-13,86,False
2019-01-20,77,False
2019-01-27,19,False
2019-02-03,39,False
2019-02-10,40,False
2019-02-17,20,False
2019-02-24,51,False
2019-03-03,20,False
2019-03-10,48,False
2019-03-17,51,False
2019-03-24,31,False
2019-03-31,40,False
2019-04-07,49,False
2019-04-14,44,False
2019-04-21,21,False
2019-04-28,49,False
2019-05-05,48,False
2019-05-12,40,False
2019-05-19,39,False
2019-05-26,51,False
2019-06-02,30,False
2019-06-09,71,False
2019-06-16,0,False
2019-06-23,20,False
2019-06-30,20,False
2019-07-07,30,False
2019-07-14,41,False
2019-07-21,22,False
2019-07-28,32,False
2019-08-04,42,False
2019-08-11,61,False
2019-08-18,51,False
2019-08-25,30,False
2019-09-01,29,False
2019-09-08,50,False
2019-09-15,50,False
2019-09-22,49,False
2019-09-29,69,False
2019-10-06,49,False
2019-10-13,0,False
2019-10-20,38,False
2019-10-27,47,False
2019-11-03,81,False
2019-11-10,74,False
2019-11-17,93,False
2019-11-24,27,False
2019-12-01,46,False
2019-12-08,38,False
2019-12-15,38,False
2019-12-22,0,False
2019-12-29,50,False
2020-01-05,53,False
2020-01-12,17,False
2020-01-19,62,False
2020-01-26,88,False
2020-02-02,52,False
2020-02-09,43,False
2020-02-16,54,False
2020-02-23,26,False
2020-03-01,43,False
2020-03-08,16,False
2020-03-15,64,False
2020-03-22,32,False
2020-03-29,47,False
2020-04-05,52,False
2020-04-12,42,False
2020-04-19,49,False
2020-04-26,55,False
2020-05-03,32,False
2020-05-10,40,False
