date,ricette torte,isPartial
2018-01-07,12,False
2018-01-14,25,False
2018-01-21,25,False
2018-01-28,37,False
2018-02-04,37,False
2018-02-11,40,False
2018-02-18,50,False
2018-02-25,48,False
2018-03-04,25,False
2018-03-11,38,False
2018-03-18,25,False
2018-03-25,13,False
2018-04-01,14,False
2018-04-08,13,False
2018-04-15,52,False
2018-04-22,14,False
2018-04-29,52,False
2018-05-06,37,False
2018-05-13,13,False
2018-05-20,13,False
2018-05-27,0,False
2018-06-03,27,False
2018-06-10,25,False
2018-06-17,0,False
2018-06-24,13,False
2018-07-01,51,False
2018-07-08,26,False
2018-07-15,27,False
2018-07-22,13,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,15,False
2018-08-26,14,False
2018-09-02,39,False
2018-09-09,26,False
2018-09-16,25,False
2018-09-23,38,False
2018-09-30,38,False
2018-10-07,13,False
2018-10-14,80,False
2018-10-21,13,False
2018-10-28,38,False
2018-11-04,38,False
2018-11-11,14,False
2018-11-18,27,False
2018-11-25,27,False
2018-12-02,28,False
2018-12-09,14,False
2018-12-16,27,False
2018-12-23,0,False
2018-12-30,27,False
2019-01-06,0,False
2019-01-13,50,False
2019-01-20,12,False
2019-01-27,37,False
2019-02-03,36,False
2019-02-10,25,False
2019-02-17,24,False
2019-02-24,0,False
2019-03-03,13,False
2019-03-10,12,False
2019-03-17,26,False
2019-03-24,13,False
2019-03-31,13,False
2019-04-07,26,False
2019-04-14,27,False
2019-04-21,0,False
2019-04-28,25,False
2019-05-05,12,False
2019-05-12,50,False
2019-05-19,37,False
2019-05-26,59,False
2019-06-02,13,False
2019-06-09,0,False
2019-06-16,13,False
2019-06-23,14,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,27,False
2019-07-21,55,False
2019-07-28,14,False
2019-08-04,14,False
2019-08-11,31,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,12,False
2019-09-08,49,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,11,False
2019-10-06,12,False
2019-10-13,0,False
2019-10-20,12,False
2019-10-27,35,False
2019-11-03,11,False
2019-11-10,12,False
2019-11-17,70,False
2019-11-24,23,False
2019-12-01,12,False
2019-12-08,25,False
2019-12-15,12,False
2019-12-22,13,False
2019-12-29,13,False
2020-01-05,12,False
2020-01-12,34,False
2020-01-19,0,False
2020-01-26,23,False
2020-02-02,0,False
2020-02-09,34,False
2020-02-16,35,False
2020-02-23,22,False
2020-03-01,11,False
2020-03-08,72,False
2020-03-15,100,False
2020-03-22,84,False
2020-03-29,67,False
2020-04-05,40,False
2020-04-12,40,False
2020-04-19,64,False
2020-04-26,16,True
