date,trucco perfetto,isPartial
2018-01-07,20,False
2018-01-14,20,False
2018-01-21,20,False
2018-01-28,20,False
2018-02-04,19,False
2018-02-11,100,False
2018-02-18,19,False
2018-02-25,76,False
2018-03-04,19,False
2018-03-11,29,False
2018-03-18,59,False
2018-03-25,42,False
2018-04-01,43,False
2018-04-08,20,False
2018-04-15,40,False
2018-04-22,42,False
2018-04-29,20,False
2018-05-06,20,False
2018-05-13,59,False
2018-05-20,40,False
2018-05-27,40,False
2018-06-03,20,False
2018-06-10,19,False
2018-06-17,40,False
2018-06-24,40,False
2018-07-01,40,False
2018-07-08,0,False
2018-07-15,40,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,45,False
2018-08-19,33,False
2018-08-26,31,False
2018-09-02,0,False
2018-09-09,20,False
2018-09-16,29,False
2018-09-23,39,False
2018-09-30,58,False
2018-10-07,0,False
2018-10-14,30,False
2018-10-21,29,False
2018-10-28,29,False
2018-11-04,38,False
2018-11-11,50,False
2018-11-18,19,False
2018-11-25,80,False
2018-12-02,40,False
2018-12-09,20,False
2018-12-16,31,False
2018-12-23,47,False
2018-12-30,32,False
2019-01-06,60,False
2019-01-13,19,False
2019-01-20,28,False
2019-01-27,18,False
2019-02-03,28,False
2019-02-10,19,False
2019-02-17,39,False
2019-02-24,19,False
2019-03-03,20,False
2019-03-10,0,False
2019-03-17,40,False
2019-03-24,20,False
2019-03-31,20,False
2019-04-07,19,False
2019-04-14,20,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,28,False
2019-05-12,28,False
2019-05-19,19,False
2019-05-26,45,False
2019-06-02,59,False
2019-06-09,20,False
2019-06-16,20,False
2019-06-23,30,False
2019-06-30,20,False
2019-07-07,19,False
2019-07-14,20,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,22,False
2019-08-18,21,False
2019-08-25,0,False
2019-09-01,45,False
2019-09-08,19,False
2019-09-15,18,False
2019-09-22,18,False
2019-09-29,19,False
2019-10-06,19,False
2019-10-13,18,False
2019-10-20,35,False
2019-10-27,18,False
2019-11-03,0,False
2019-11-10,27,False
2019-11-17,0,False
2019-11-24,35,False
2019-12-01,54,False
2019-12-08,18,False
2019-12-15,18,False
2019-12-22,21,False
2019-12-29,31,False
2020-01-05,18,False
2020-01-12,34,False
2020-01-19,17,False
2020-01-26,17,False
2020-02-02,42,False
2020-02-09,17,False
2020-02-16,26,False
2020-02-23,0,False
2020-03-01,32,False
2020-03-08,23,False
2020-03-15,0,False
2020-03-22,22,False
2020-03-29,15,False
2020-04-05,0,False
2020-04-12,24,False
2020-04-19,29,False
2020-04-26,0,True
