date,Keller entrümpeln,isPartial
2018-01-07,0,False
2018-01-14,31,False
2018-01-21,46,False
2018-01-28,30,False
2018-02-04,32,False
2018-02-11,32,False
2018-02-18,31,False
2018-02-25,0,False
2018-03-04,31,False
2018-03-11,31,False
2018-03-18,94,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,32,False
2018-04-15,33,False
2018-04-22,31,False
2018-04-29,33,False
2018-05-06,0,False
2018-05-13,47,False
2018-05-20,84,False
2018-05-27,0,False
2018-06-03,47,False
2018-06-10,30,False
2018-06-17,31,False
2018-06-24,0,False
2018-07-01,31,False
2018-07-08,31,False
2018-07-15,32,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,33,False
2018-08-19,32,False
2018-08-26,32,False
2018-09-02,64,False
2018-09-09,63,False
2018-09-16,31,False
2018-09-23,42,False
2018-09-30,47,False
2018-10-07,0,False
2018-10-14,47,False
2018-10-21,31,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,31,False
2018-11-18,49,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,42,False
2018-12-23,54,False
2018-12-30,0,False
2019-01-06,29,False
2019-01-13,57,False
2019-01-20,29,False
2019-01-27,58,False
2019-02-03,44,False
2019-02-10,30,False
2019-02-17,30,False
2019-02-24,30,False
2019-03-03,29,False
2019-03-10,29,False
2019-03-17,61,False
2019-03-24,30,False
2019-03-31,30,False
2019-04-07,44,False
2019-04-14,33,False
2019-04-21,42,False
2019-04-28,30,False
2019-05-05,29,False
2019-05-12,45,False
2019-05-19,29,False
2019-05-26,46,False
2019-06-02,30,False
2019-06-09,61,False
2019-06-16,31,False
2019-06-23,30,False
2019-06-30,0,False
2019-07-07,40,False
2019-07-14,31,False
2019-07-21,49,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,30,False
2019-08-18,31,False
2019-08-25,50,False
2019-09-01,59,False
2019-09-08,50,False
2019-09-15,40,False
2019-09-22,68,False
2019-09-29,39,False
2019-10-06,29,False
2019-10-13,29,False
2019-10-20,57,False
2019-10-27,0,False
2019-11-03,54,False
2019-11-10,46,False
2019-11-17,82,False
2019-11-24,27,False
2019-12-01,0,False
2019-12-08,28,False
2019-12-15,28,False
2019-12-22,65,False
2019-12-29,45,False
2020-01-05,27,False
2020-01-12,34,False
2020-01-19,26,False
2020-01-26,39,False
2020-02-02,26,False
2020-02-09,39,False
2020-02-16,40,False
2020-02-23,52,False
2020-03-01,39,False
2020-03-08,32,False
2020-03-15,48,False
2020-03-22,24,False
2020-03-29,24,False
2020-04-05,52,False
2020-04-12,100,False
2020-04-19,36,False
2020-04-26,71,False
2020-05-03,72,False
2020-05-10,24,False
