date,Schlüssel abgebrochen,isPartial
2018-01-07,100,False
2018-01-14,32,False
2018-01-21,33,False
2018-01-28,44,False
2018-02-04,45,False
2018-02-11,0,False
2018-02-18,33,False
2018-02-25,0,False
2018-03-04,33,False
2018-03-11,44,False
2018-03-18,33,False
2018-03-25,36,False
2018-04-01,0,False
2018-04-08,33,False
2018-04-15,0,False
2018-04-22,33,False
2018-04-29,34,False
2018-05-06,52,False
2018-05-13,33,False
2018-05-20,70,False
2018-05-27,66,False
2018-06-03,33,False
2018-06-10,43,False
2018-06-17,0,False
2018-06-24,67,False
2018-07-01,33,False
2018-07-08,48,False
2018-07-15,0,False
2018-07-22,35,False
2018-07-29,35,False
2018-08-05,88,False
2018-08-12,0,False
2018-08-19,34,False
2018-08-26,34,False
2018-09-02,33,False
2018-09-09,0,False
2018-09-16,34,False
2018-09-23,34,False
2018-09-30,34,False
2018-10-07,68,False
2018-10-14,34,False
2018-10-21,51,False
2018-10-28,83,False
2018-11-04,43,False
2018-11-11,65,False
2018-11-18,32,False
2018-11-25,0,False
2018-12-02,95,False
2018-12-09,65,False
2018-12-16,99,False
2018-12-23,76,False
2018-12-30,58,False
2019-01-06,31,False
2019-01-13,61,False
2019-01-20,46,False
2019-01-27,30,False
2019-02-03,31,False
2019-02-10,32,False
2019-02-17,63,False
2019-02-24,32,False
2019-03-03,31,False
2019-03-10,30,False
2019-03-17,32,False
2019-03-24,64,False
2019-03-31,94,False
2019-04-07,53,False
2019-04-14,0,False
2019-04-21,34,False
2019-04-28,32,False
2019-05-05,46,False
2019-05-12,32,False
2019-05-19,32,False
2019-05-26,43,False
2019-06-02,63,False
2019-06-09,64,False
2019-06-16,65,False
2019-06-23,32,False
2019-06-30,32,False
2019-07-07,0,False
2019-07-14,33,False
2019-07-21,36,False
2019-07-28,35,False
2019-08-04,69,False
2019-08-11,84,False
2019-08-18,66,False
2019-08-25,42,False
2019-09-01,62,False
2019-09-08,63,False
2019-09-15,48,False
2019-09-22,72,False
2019-09-29,31,False
2019-10-06,31,False
2019-10-13,62,False
2019-10-20,31,False
2019-10-27,0,False
2019-11-03,29,False
2019-11-10,44,False
2019-11-17,58,False
2019-11-24,43,False
2019-12-01,29,False
2019-12-08,0,False
2019-12-15,30,False
2019-12-22,57,False
2019-12-29,32,False
2020-01-05,42,False
2020-01-12,41,False
2020-01-19,47,False
2020-01-26,0,False
2020-02-02,28,False
2020-02-09,0,False
2020-02-16,42,False
2020-02-23,36,False
2020-03-01,27,False
2020-03-08,34,False
2020-03-15,25,False
2020-03-22,42,False
2020-03-29,50,False
2020-04-05,27,False
2020-04-12,39,False
2020-04-19,26,False
2020-04-26,37,False
2020-05-03,25,False
2020-05-10,51,False
