date,location matrimoni,isPartial
2018-01-07,26,False
2018-01-14,77,False
2018-01-21,51,False
2018-01-28,63,False
2018-02-04,0,False
2018-02-11,38,False
2018-02-18,49,False
2018-02-25,48,False
2018-03-04,0,False
2018-03-11,25,False
2018-03-18,0,False
2018-03-25,40,False
2018-04-01,56,False
2018-04-08,78,False
2018-04-15,0,False
2018-04-22,55,False
2018-04-29,51,False
2018-05-06,25,False
2018-05-13,26,False
2018-05-20,25,False
2018-05-27,52,False
2018-06-03,39,False
2018-06-10,25,False
2018-06-17,39,False
2018-06-24,26,False
2018-07-01,63,False
2018-07-08,63,False
2018-07-15,52,False
2018-07-22,26,False
2018-07-29,27,False
2018-08-05,43,False
2018-08-12,47,False
2018-08-19,43,False
2018-08-26,77,False
2018-09-02,100,False
2018-09-09,51,False
2018-09-16,50,False
2018-09-23,25,False
2018-09-30,51,False
2018-10-07,52,False
2018-10-14,78,False
2018-10-21,26,False
2018-10-28,25,False
2018-11-04,36,False
2018-11-11,0,False
2018-11-18,25,False
2018-11-25,25,False
2018-12-02,26,False
2018-12-09,52,False
2018-12-16,27,False
2018-12-23,33,False
2018-12-30,93,False
2019-01-06,40,False
2019-01-13,37,False
2019-01-20,63,False
2019-01-27,25,False
2019-02-03,25,False
2019-02-10,25,False
2019-02-17,25,False
2019-02-24,26,False
2019-03-03,39,False
2019-03-10,26,False
2019-03-17,51,False
2019-03-24,52,False
2019-03-31,0,False
2019-04-07,51,False
2019-04-14,27,False
2019-04-21,29,False
2019-04-28,27,False
2019-05-05,0,False
2019-05-12,24,False
2019-05-19,61,False
2019-05-26,47,False
2019-06-02,26,False
2019-06-09,39,False
2019-06-16,52,False
2019-06-23,53,False
2019-06-30,26,False
2019-07-07,36,False
2019-07-14,49,False
2019-07-21,26,False
2019-07-28,51,False
2019-08-04,41,False
2019-08-11,44,False
2019-08-18,51,False
2019-08-25,71,False
2019-09-01,68,False
2019-09-08,23,False
2019-09-15,58,False
2019-09-22,69,False
2019-09-29,35,False
2019-10-06,72,False
2019-10-13,24,False
2019-10-20,35,False
2019-10-27,47,False
2019-11-03,23,False
2019-11-10,23,False
2019-11-17,45,False
2019-11-24,22,False
2019-12-01,0,False
2019-12-08,24,False
2019-12-15,24,False
2019-12-22,57,False
2019-12-29,41,False
2020-01-05,47,False
2020-01-12,21,False
2020-01-19,54,False
2020-01-26,64,False
2020-02-02,43,False
2020-02-09,22,False
2020-02-16,65,False
2020-02-23,20,False
2020-03-01,0,False
2020-03-08,20,False
2020-03-15,0,False
2020-03-22,18,False
2020-03-29,0,False
2020-04-05,20,False
2020-04-12,20,False
2020-04-19,19,False
2020-04-26,33,True
