date,location matrimoni,isPartial
2018-01-07,54,False
2018-01-14,53,False
2018-01-21,27,False
2018-01-28,26,False
2018-02-04,25,False
2018-02-11,0,False
2018-02-18,50,False
2018-02-25,0,False
2018-03-04,25,False
2018-03-11,38,False
2018-03-18,25,False
2018-03-25,26,False
2018-04-01,0,False
2018-04-08,77,False
2018-04-15,79,False
2018-04-22,0,False
2018-04-29,51,False
2018-05-06,25,False
2018-05-13,26,False
2018-05-20,52,False
2018-05-27,26,False
2018-06-03,51,False
2018-06-10,37,False
2018-06-17,50,False
2018-06-24,26,False
2018-07-01,50,False
2018-07-08,25,False
2018-07-15,25,False
2018-07-22,25,False
2018-07-29,39,False
2018-08-05,80,False
2018-08-12,27,False
2018-08-19,27,False
2018-08-26,0,False
2018-09-02,100,False
2018-09-09,100,False
2018-09-16,98,False
2018-09-23,0,False
2018-09-30,26,False
2018-10-07,52,False
2018-10-14,52,False
2018-10-21,0,False
2018-10-28,25,False
2018-11-04,76,False
2018-11-11,26,False
2018-11-18,52,False
2018-11-25,26,False
2018-12-02,26,False
2018-12-09,54,False
2018-12-16,56,False
2018-12-23,32,False
2018-12-30,0,False
2019-01-06,27,False
2019-01-13,0,False
2019-01-20,25,False
2019-01-27,48,False
2019-02-03,25,False
2019-02-10,0,False
2019-02-17,39,False
2019-02-24,53,False
2019-03-03,0,False
2019-03-10,51,False
2019-03-17,39,False
2019-03-24,26,False
2019-03-31,0,False
2019-04-07,51,False
2019-04-14,26,False
2019-04-21,0,False
2019-04-28,25,False
2019-05-05,49,False
2019-05-12,24,False
2019-05-19,60,False
2019-05-26,0,False
2019-06-02,38,False
2019-06-09,38,False
2019-06-16,27,False
2019-06-23,26,False
2019-06-30,25,False
2019-07-07,49,False
2019-07-14,50,False
2019-07-21,51,False
2019-07-28,52,False
2019-08-04,0,False
2019-08-11,57,False
2019-08-18,26,False
2019-08-25,37,False
2019-09-01,46,False
2019-09-08,24,False
2019-09-15,48,False
2019-09-22,23,False
2019-09-29,47,False
2019-10-06,24,False
2019-10-13,0,False
2019-10-20,46,False
2019-10-27,0,False
2019-11-03,23,False
2019-11-10,23,False
2019-11-17,0,False
2019-11-24,23,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,24,False
2019-12-22,29,False
2019-12-29,40,False
2020-01-05,48,False
2020-01-12,22,False
2020-01-19,23,False
2020-01-26,0,False
2020-02-02,22,False
2020-02-09,0,False
2020-02-16,46,False
2020-02-23,21,False
2020-03-01,0,False
2020-03-08,20,False
2020-03-15,0,False
2020-03-22,19,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,30,False
2020-04-19,19,False
2020-04-26,50,True
