date,location matrimoni,isPartial
2018-01-07,40,False
2018-01-14,40,False
2018-01-21,82,False
2018-01-28,40,False
2018-02-04,20,False
2018-02-11,32,False
2018-02-18,60,False
2018-02-25,39,False
2018-03-04,21,False
2018-03-11,52,False
2018-03-18,31,False
2018-03-25,22,False
2018-04-01,57,False
2018-04-08,43,False
2018-04-15,43,False
2018-04-22,66,False
2018-04-29,21,False
2018-05-06,41,False
2018-05-13,43,False
2018-05-20,53,False
2018-05-27,87,False
2018-06-03,65,False
2018-06-10,40,False
2018-06-17,41,False
2018-06-24,42,False
2018-07-01,53,False
2018-07-08,32,False
2018-07-15,44,False
2018-07-22,22,False
2018-07-29,66,False
2018-08-05,35,False
2018-08-12,25,False
2018-08-19,0,False
2018-08-26,68,False
2018-09-02,64,False
2018-09-09,31,False
2018-09-16,30,False
2018-09-23,21,False
2018-09-30,21,False
2018-10-07,43,False
2018-10-14,22,False
2018-10-21,21,False
2018-10-28,62,False
2018-11-04,31,False
2018-11-11,22,False
2018-11-18,22,False
2018-11-25,22,False
2018-12-02,23,False
2018-12-09,22,False
2018-12-16,45,False
2018-12-23,0,False
2018-12-30,45,False
2019-01-06,21,False
2019-01-13,51,False
2019-01-20,0,False
2019-01-27,30,False
2019-02-03,40,False
2019-02-10,20,False
2019-02-17,50,False
2019-02-24,41,False
2019-03-03,0,False
2019-03-10,40,False
2019-03-17,42,False
2019-03-24,21,False
2019-03-31,21,False
2019-04-07,21,False
2019-04-14,22,False
2019-04-21,22,False
2019-04-28,41,False
2019-05-05,41,False
2019-05-12,20,False
2019-05-19,30,False
2019-05-26,38,False
2019-06-02,95,False
2019-06-09,33,False
2019-06-16,0,False
2019-06-23,44,False
2019-06-30,34,False
2019-07-07,65,False
2019-07-14,44,False
2019-07-21,34,False
2019-07-28,22,False
2019-08-04,35,False
2019-08-11,0,False
2019-08-18,24,False
2019-08-25,31,False
2019-09-01,49,False
2019-09-08,100,False
2019-09-15,58,False
2019-09-22,28,False
2019-09-29,47,False
2019-10-06,90,False
2019-10-13,30,False
2019-10-20,29,False
2019-10-27,19,False
2019-11-03,36,False
2019-11-10,39,False
2019-11-17,19,False
2019-11-24,19,False
2019-12-01,20,False
2019-12-08,30,False
2019-12-15,0,False
2019-12-22,66,False
2019-12-29,0,False
2020-01-05,77,False
2020-01-12,56,False
2020-01-19,29,False
2020-01-26,37,False
2020-02-02,54,False
2020-02-09,38,False
2020-02-16,38,False
2020-02-23,18,False
2020-03-01,17,False
2020-03-08,17,False
2020-03-15,16,False
2020-03-22,30,False
2020-03-29,15,False
2020-04-05,33,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,True
