date,Fliesenleger,isPartial
2018-01-07,20,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,19,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,20,False
2018-03-04,19,False
2018-03-11,19,False
2018-03-18,20,False
2018-03-25,43,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,19,False
2018-04-29,20,False
2018-05-06,21,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,29,False
2018-06-03,20,False
2018-06-10,0,False
2018-06-17,19,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,45,False
2018-07-22,44,False
2018-07-29,21,False
2018-08-05,0,False
2018-08-12,20,False
2018-08-19,20,False
2018-08-26,20,False
2018-09-02,80,False
2018-09-09,100,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,21,False
2018-10-14,26,False
2018-10-21,19,False
2018-10-28,19,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,20,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,28,False
2019-01-13,19,False
2019-01-20,0,False
2019-01-27,19,False
2019-02-03,19,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,20,False
2019-03-03,29,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,19,False
2019-03-31,20,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,21,False
2019-04-28,20,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,19,False
2019-05-26,0,False
2019-06-02,19,False
2019-06-09,0,False
2019-06-16,19,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,20,False
2019-07-14,21,False
2019-07-21,23,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,19,False
2019-08-18,20,False
2019-08-25,0,False
2019-09-01,24,False
2019-09-08,0,False
2019-09-15,19,False
2019-09-22,19,False
2019-09-29,0,False
2019-10-06,19,False
2019-10-13,28,False
2019-10-20,18,False
2019-10-27,0,False
2019-11-03,27,False
2019-11-10,0,False
2019-11-17,18,False
2019-11-24,17,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,20,False
2020-01-05,0,False
2020-01-12,41,False
2020-01-19,17,False
2020-01-26,17,False
2020-02-02,18,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,17,False
2020-03-01,26,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,16,False
2020-03-29,16,False
2020-04-05,0,False
2020-04-12,17,False
2020-04-19,17,False
2020-04-26,16,False
2020-05-03,15,False
2020-05-10,15,False
