date,Fliesenleger,isPartial
2018-01-07,32,False
2018-01-14,83,False
2018-01-21,42,False
2018-01-28,21,False
2018-02-04,44,False
2018-02-11,53,False
2018-02-18,21,False
2018-02-25,42,False
2018-03-04,53,False
2018-03-11,42,False
2018-03-18,32,False
2018-03-25,23,False
2018-04-01,23,False
2018-04-08,34,False
2018-04-15,46,False
2018-04-22,22,False
2018-04-29,0,False
2018-05-06,24,False
2018-05-13,46,False
2018-05-20,69,False
2018-05-27,0,False
2018-06-03,45,False
2018-06-10,21,False
2018-06-17,21,False
2018-06-24,77,False
2018-07-01,45,False
2018-07-08,33,False
2018-07-15,0,False
2018-07-22,45,False
2018-07-29,55,False
2018-08-05,42,False
2018-08-12,32,False
2018-08-19,22,False
2018-08-26,44,False
2018-09-02,22,False
2018-09-09,44,False
2018-09-16,86,False
2018-09-23,22,False
2018-09-30,45,False
2018-10-07,45,False
2018-10-14,21,False
2018-10-21,21,False
2018-10-28,41,False
2018-11-04,31,False
2018-11-11,21,False
2018-11-18,20,False
2018-11-25,21,False
2018-12-02,0,False
2018-12-09,31,False
2018-12-16,0,False
2018-12-23,44,False
2018-12-30,21,False
2019-01-06,77,False
2019-01-13,29,False
2019-01-20,38,False
2019-01-27,0,False
2019-02-03,19,False
2019-02-10,61,False
2019-02-17,60,False
2019-02-24,40,False
2019-03-03,20,False
2019-03-10,19,False
2019-03-17,21,False
2019-03-24,60,False
2019-03-31,62,False
2019-04-07,20,False
2019-04-14,43,False
2019-04-21,54,False
2019-04-28,100,False
2019-05-05,39,False
2019-05-12,41,False
2019-05-19,20,False
2019-05-26,21,False
2019-06-02,60,False
2019-06-09,20,False
2019-06-16,20,False
2019-06-23,20,False
2019-06-30,20,False
2019-07-07,31,False
2019-07-14,42,False
2019-07-21,33,False
2019-07-28,0,False
2019-08-04,42,False
2019-08-11,79,False
2019-08-18,0,False
2019-08-25,59,False
2019-09-01,20,False
2019-09-08,30,False
2019-09-15,39,False
2019-09-22,19,False
2019-09-29,38,False
2019-10-06,39,False
2019-10-13,64,False
2019-10-20,19,False
2019-10-27,45,False
2019-11-03,35,False
2019-11-10,45,False
2019-11-17,27,False
2019-11-24,17,False
2019-12-01,18,False
2019-12-08,36,False
2019-12-15,18,False
2019-12-22,19,False
2019-12-29,56,False
2020-01-05,17,False
2020-01-12,17,False
2020-01-19,34,False
2020-01-26,34,False
2020-02-02,50,False
2020-02-09,17,False
2020-02-16,43,False
2020-02-23,41,False
2020-03-01,17,False
2020-03-08,48,False
2020-03-15,31,False
2020-03-22,29,False
2020-03-29,44,False
2020-04-05,33,False
2020-04-12,16,False
2020-04-19,55,False
2020-04-26,30,False
2020-05-03,0,False
2020-05-10,47,False
