date,Glasbruch,isPartial
2018-01-07,50,False
2018-01-14,25,False
2018-01-21,25,False
2018-01-28,97,False
2018-02-04,51,False
2018-02-11,63,False
2018-02-18,25,False
2018-02-25,0,False
2018-03-04,76,False
2018-03-11,50,False
2018-03-18,37,False
2018-03-25,27,False
2018-04-01,40,False
2018-04-08,0,False
2018-04-15,26,False
2018-04-22,25,False
2018-04-29,51,False
2018-05-06,92,False
2018-05-13,37,False
2018-05-20,0,False
2018-05-27,87,False
2018-06-03,25,False
2018-06-10,0,False
2018-06-17,24,False
2018-06-24,100,False
2018-07-01,37,False
2018-07-08,24,False
2018-07-15,0,False
2018-07-22,52,False
2018-07-29,27,False
2018-08-05,27,False
2018-08-12,26,False
2018-08-19,51,False
2018-08-26,25,False
2018-09-02,25,False
2018-09-09,77,False
2018-09-16,25,False
2018-09-23,77,False
2018-09-30,25,False
2018-10-07,38,False
2018-10-14,52,False
2018-10-21,76,False
2018-10-28,25,False
2018-11-04,48,False
2018-11-11,37,False
2018-11-18,72,False
2018-11-25,24,False
2018-12-02,24,False
2018-12-09,24,False
2018-12-16,25,False
2018-12-23,28,False
2018-12-30,26,False
2019-01-06,46,False
2019-01-13,46,False
2019-01-20,46,False
2019-01-27,45,False
2019-02-03,58,False
2019-02-10,24,False
2019-02-17,47,False
2019-02-24,48,False
2019-03-03,47,False
2019-03-10,69,False
2019-03-17,36,False
2019-03-24,48,False
2019-03-31,23,False
2019-04-07,24,False
2019-04-14,52,False
2019-04-21,76,False
2019-04-28,72,False
2019-05-05,23,False
2019-05-12,24,False
2019-05-19,23,False
2019-05-26,49,False
2019-06-02,35,False
2019-06-09,24,False
2019-06-16,61,False
2019-06-23,24,False
2019-06-30,48,False
2019-07-07,23,False
2019-07-14,50,False
2019-07-21,40,False
2019-07-28,52,False
2019-08-04,66,False
2019-08-11,25,False
2019-08-18,25,False
2019-08-25,95,False
2019-09-01,23,False
2019-09-08,72,False
2019-09-15,36,False
2019-09-22,47,False
2019-09-29,23,False
2019-10-06,23,False
2019-10-13,23,False
2019-10-20,0,False
2019-10-27,23,False
2019-11-03,44,False
2019-11-10,22,False
2019-11-17,43,False
2019-11-24,21,False
2019-12-01,54,False
2019-12-08,44,False
2019-12-15,67,False
2019-12-22,77,False
2019-12-29,24,False
2020-01-05,21,False
2020-01-12,41,False
2020-01-19,74,False
2020-01-26,0,False
2020-02-02,41,False
2020-02-09,31,False
2020-02-16,42,False
2020-02-23,30,False
2020-03-01,41,False
2020-03-08,48,False
2020-03-15,19,False
2020-03-22,28,False
2020-03-29,38,False
2020-04-05,31,False
2020-04-12,49,False
2020-04-19,77,False
2020-04-26,38,False
2020-05-03,0,False
2020-05-10,39,False
