date,Glasbruch,isPartial
2018-01-07,51,False
2018-01-14,68,False
2018-01-21,68,False
2018-01-28,100,False
2018-02-04,57,False
2018-02-11,0,False
2018-02-18,35,False
2018-02-25,35,False
2018-03-04,35,False
2018-03-11,35,False
2018-03-18,0,False
2018-03-25,38,False
2018-04-01,38,False
2018-04-08,37,False
2018-04-15,55,False
2018-04-22,89,False
2018-04-29,36,False
2018-05-06,73,False
2018-05-13,35,False
2018-05-20,74,False
2018-05-27,38,False
2018-06-03,35,False
2018-06-10,45,False
2018-06-17,0,False
2018-06-24,84,False
2018-07-01,33,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,34,False
2018-07-29,0,False
2018-08-05,73,False
2018-08-12,0,False
2018-08-19,75,False
2018-08-26,75,False
2018-09-02,49,False
2018-09-09,35,False
2018-09-16,54,False
2018-09-23,71,False
2018-09-30,35,False
2018-10-07,70,False
2018-10-14,52,False
2018-10-21,34,False
2018-10-28,69,False
2018-11-04,50,False
2018-11-11,91,False
2018-11-18,65,False
2018-11-25,33,False
2018-12-02,100,False
2018-12-09,34,False
2018-12-16,0,False
2018-12-23,61,False
2018-12-30,60,False
2019-01-06,0,False
2019-01-13,32,False
2019-01-20,47,False
2019-01-27,0,False
2019-02-03,53,False
2019-02-10,32,False
2019-02-17,54,False
2019-02-24,33,False
2019-03-03,33,False
2019-03-10,33,False
2019-03-17,34,False
2019-03-24,68,False
2019-03-31,35,False
2019-04-07,45,False
2019-04-14,36,False
2019-04-21,72,False
2019-04-28,33,False
2019-05-05,32,False
2019-05-12,33,False
2019-05-19,49,False
2019-05-26,51,False
2019-06-02,34,False
2019-06-09,35,False
2019-06-16,52,False
2019-06-23,51,False
2019-06-30,33,False
2019-07-07,31,False
2019-07-14,33,False
2019-07-21,69,False
2019-07-28,33,False
2019-08-04,35,False
2019-08-11,89,False
2019-08-18,36,False
2019-08-25,71,False
2019-09-01,33,False
2019-09-08,33,False
2019-09-15,33,False
2019-09-22,0,False
2019-09-29,65,False
2019-10-06,47,False
2019-10-13,31,False
2019-10-20,47,False
2019-10-27,32,False
2019-11-03,31,False
2019-11-10,62,False
2019-11-17,92,False
2019-11-24,30,False
2019-12-01,31,False
2019-12-08,63,False
2019-12-15,32,False
2019-12-22,36,False
2019-12-29,34,False
2020-01-05,30,False
2020-01-12,29,False
2020-01-19,30,False
2020-01-26,30,False
2020-02-02,59,False
2020-02-09,57,False
2020-02-16,30,False
2020-02-23,59,False
2020-03-01,39,False
2020-03-08,27,False
2020-03-15,26,False
2020-03-22,27,False
2020-03-29,66,False
2020-04-05,59,False
2020-04-12,0,False
2020-04-19,27,False
2020-04-26,27,False
2020-05-03,27,False
2020-05-10,27,False
