date,Gartentor,isPartial
2018-01-07,30,False
2018-01-14,23,False
2018-01-21,24,False
2018-01-28,31,False
2018-02-04,21,False
2018-02-11,33,False
2018-02-18,17,False
2018-02-25,14,False
2018-03-04,26,False
2018-03-11,19,False
2018-03-18,39,False
2018-03-25,62,False
2018-04-01,63,False
2018-04-08,49,False
2018-04-15,52,False
2018-04-22,39,False
2018-04-29,44,False
2018-05-06,70,False
2018-05-13,38,False
2018-05-20,43,False
2018-05-27,46,False
2018-06-03,40,False
2018-06-10,52,False
2018-06-17,37,False
2018-06-24,43,False
2018-07-01,38,False
2018-07-08,54,False
2018-07-15,39,False
2018-07-22,30,False
2018-07-29,50,False
2018-08-05,27,False
2018-08-12,33,False
2018-08-19,31,False
2018-08-26,35,False
2018-09-02,37,False
2018-09-09,38,False
2018-09-16,48,False
2018-09-23,29,False
2018-09-30,19,False
2018-10-07,28,False
2018-10-14,33,False
2018-10-21,21,False
2018-10-28,31,False
2018-11-04,27,False
2018-11-11,21,False
2018-11-18,13,False
2018-11-25,14,False
2018-12-02,13,False
2018-12-09,16,False
2018-12-16,9,False
2018-12-23,12,False
2018-12-30,15,False
2019-01-06,13,False
2019-01-13,15,False
2019-01-20,13,False
2019-01-27,15,False
2019-02-03,26,False
2019-02-10,29,False
2019-02-17,24,False
2019-02-24,27,False
2019-03-03,50,False
2019-03-10,37,False
2019-03-17,40,False
2019-03-24,46,False
2019-03-31,73,False
2019-04-07,43,False
2019-04-14,57,False
2019-04-21,72,False
2019-04-28,45,False
2019-05-05,52,False
2019-05-12,49,False
2019-05-19,39,False
2019-05-26,30,False
2019-06-02,36,False
2019-06-09,33,False
2019-06-16,49,False
2019-06-23,41,False
2019-06-30,47,False
2019-07-07,26,False
2019-07-14,40,False
2019-07-21,26,False
2019-07-28,34,False
2019-08-04,26,False
2019-08-11,41,False
2019-08-18,46,False
2019-08-25,41,False
2019-09-01,23,False
2019-09-08,25,False
2019-09-15,43,False
2019-09-22,37,False
2019-09-29,20,False
2019-10-06,15,False
2019-10-13,21,False
2019-10-20,23,False
2019-10-27,32,False
2019-11-03,12,False
2019-11-10,13,False
2019-11-17,31,False
2019-11-24,23,False
2019-12-01,13,False
2019-12-08,13,False
2019-12-15,7,False
2019-12-22,15,False
2019-12-29,9,False
2020-01-05,12,False
2020-01-12,20,False
2020-01-19,24,False
2020-01-26,21,False
2020-02-02,18,False
2020-02-09,13,False
2020-02-16,22,False
2020-02-23,28,False
2020-03-01,31,False
2020-03-08,52,False
2020-03-15,43,False
2020-03-22,55,False
2020-03-29,60,False
2020-04-05,64,False
2020-04-12,74,False
2020-04-19,78,False
2020-04-26,49,False
2020-05-03,70,False
2020-05-10,100,False
