date,Gartentor,isPartial
2018-01-07,50,False
2018-01-14,25,False
2018-01-21,0,False
2018-01-28,37,False
2018-02-04,0,False
2018-02-11,25,False
2018-02-18,25,False
2018-02-25,37,False
2018-03-04,49,False
2018-03-11,75,False
2018-03-18,51,False
2018-03-25,50,False
2018-04-01,53,False
2018-04-08,53,False
2018-04-15,54,False
2018-04-22,50,False
2018-04-29,85,False
2018-05-06,53,False
2018-05-13,51,False
2018-05-20,52,False
2018-05-27,50,False
2018-06-03,76,False
2018-06-10,47,False
2018-06-17,47,False
2018-06-24,25,False
2018-07-01,57,False
2018-07-08,24,False
2018-07-15,26,False
2018-07-22,25,False
2018-07-29,57,False
2018-08-05,47,False
2018-08-12,32,False
2018-08-19,24,False
2018-08-26,56,False
2018-09-02,33,False
2018-09-09,24,False
2018-09-16,49,False
2018-09-23,37,False
2018-09-30,25,False
2018-10-07,26,False
2018-10-14,34,False
2018-10-21,24,False
2018-10-28,24,False
2018-11-04,40,False
2018-11-11,49,False
2018-11-18,23,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,25,False
2018-12-16,50,False
2018-12-23,54,False
2018-12-30,25,False
2019-01-06,23,False
2019-01-13,23,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,23,False
2019-02-10,24,False
2019-02-17,59,False
2019-02-24,24,False
2019-03-03,38,False
2019-03-10,34,False
2019-03-17,0,False
2019-03-24,48,False
2019-03-31,100,False
2019-04-07,33,False
2019-04-14,76,False
2019-04-21,36,False
2019-04-28,46,False
2019-05-05,47,False
2019-05-12,47,False
2019-05-19,46,False
2019-05-26,23,False
2019-06-02,38,False
2019-06-09,34,False
2019-06-16,45,False
2019-06-23,46,False
2019-06-30,33,False
2019-07-07,30,False
2019-07-14,23,False
2019-07-21,40,False
2019-07-28,22,False
2019-08-04,44,False
2019-08-11,42,False
2019-08-18,29,False
2019-08-25,33,False
2019-09-01,21,False
2019-09-08,22,False
2019-09-15,22,False
2019-09-22,44,False
2019-09-29,22,False
2019-10-06,22,False
2019-10-13,32,False
2019-10-20,42,False
2019-10-27,42,False
2019-11-03,21,False
2019-11-10,21,False
2019-11-17,21,False
2019-11-24,42,False
2019-12-01,22,False
2019-12-08,0,False
2019-12-15,22,False
2019-12-22,0,False
2019-12-29,21,False
2020-01-05,20,False
2020-01-12,20,False
2020-01-19,21,False
2020-01-26,20,False
2020-02-02,61,False
2020-02-09,40,False
2020-02-16,20,False
2020-02-23,20,False
2020-03-01,47,False
2020-03-08,37,False
2020-03-15,35,False
2020-03-22,53,False
2020-03-29,70,False
2020-04-05,71,False
2020-04-12,87,False
2020-04-19,27,False
2020-04-26,63,False
2020-05-03,60,False
2020-05-10,65,False
