date,acconciature capelli,isPartial
2018-01-07,0,False
2018-01-14,21,False
2018-01-21,20,False
2018-01-28,0,False
2018-02-04,40,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,19,False
2018-03-04,0,False
2018-03-11,39,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,22,False
2018-04-08,40,False
2018-04-15,21,False
2018-04-22,21,False
2018-04-29,0,False
2018-05-06,20,False
2018-05-13,30,False
2018-05-20,100,False
2018-05-27,41,False
2018-06-03,30,False
2018-06-10,0,False
2018-06-17,40,False
2018-06-24,20,False
2018-07-01,39,False
2018-07-08,0,False
2018-07-15,20,False
2018-07-22,30,False
2018-07-29,31,False
2018-08-05,21,False
2018-08-12,33,False
2018-08-19,0,False
2018-08-26,39,False
2018-09-02,20,False
2018-09-09,20,False
2018-09-16,60,False
2018-09-23,0,False
2018-09-30,20,False
2018-10-07,31,False
2018-10-14,41,False
2018-10-21,0,False
2018-10-28,39,False
2018-11-04,39,False
2018-11-11,41,False
2018-11-18,39,False
2018-11-25,20,False
2018-12-02,42,False
2018-12-09,20,False
2018-12-16,0,False
2018-12-23,33,False
2018-12-30,21,False
2019-01-06,20,False
2019-01-13,18,False
2019-01-20,26,False
2019-01-27,17,False
2019-02-03,0,False
2019-02-10,18,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,18,False
2019-03-10,18,False
2019-03-17,26,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,18,False
2019-04-14,38,False
2019-04-21,0,False
2019-04-28,26,False
2019-05-05,68,False
2019-05-12,17,False
2019-05-19,34,False
2019-05-26,16,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,37,False
2019-06-23,27,False
2019-06-30,36,False
2019-07-07,0,False
2019-07-14,18,False
2019-07-21,19,False
2019-07-28,38,False
2019-08-04,0,False
2019-08-11,42,False
2019-08-18,39,False
2019-08-25,74,False
2019-09-01,17,False
2019-09-08,17,False
2019-09-15,34,False
2019-09-22,16,False
2019-09-29,16,False
2019-10-06,17,False
2019-10-13,17,False
2019-10-20,25,False
2019-10-27,16,False
2019-11-03,16,False
2019-11-10,16,False
2019-11-17,31,False
2019-11-24,0,False
2019-12-01,16,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,20,False
2020-01-05,0,False
2020-01-12,16,False
2020-01-19,16,False
2020-01-26,23,False
2020-02-02,30,False
2020-02-09,0,False
2020-02-16,24,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,13,False
2020-03-29,14,False
2020-04-05,14,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,24,True
