date,faire son jardin,isPartial
2018-01-07,9,False
2018-01-14,12,False
2018-01-21,12,False
2018-01-28,9,False
2018-02-04,9,False
2018-02-11,8,False
2018-02-18,10,False
2018-02-25,13,False
2018-03-04,13,False
2018-03-11,11,False
2018-03-18,14,False
2018-03-25,19,False
2018-04-01,21,False
2018-04-08,22,False
2018-04-15,25,False
2018-04-22,21,False
2018-04-29,17,False
2018-05-06,25,False
2018-05-13,14,False
2018-05-20,17,False
2018-05-27,12,False
2018-06-03,13,False
2018-06-10,11,False
2018-06-17,15,False
2018-06-24,13,False
2018-07-01,10,False
2018-07-08,11,False
2018-07-15,11,False
2018-07-22,9,False
2018-07-29,9,False
2018-08-05,17,False
2018-08-12,20,False
2018-08-19,19,False
2018-08-26,12,False
2018-09-02,17,False
2018-09-09,15,False
2018-09-16,17,False
2018-09-23,9,False
2018-09-30,13,False
2018-10-07,7,False
2018-10-14,8,False
2018-10-21,16,False
2018-10-28,11,False
2018-11-04,6,False
2018-11-11,6,False
2018-11-18,8,False
2018-11-25,7,False
2018-12-02,6,False
2018-12-09,6,False
2018-12-16,7,False
2018-12-23,9,False
2018-12-30,11,False
2019-01-06,5,False
2019-01-13,7,False
2019-01-20,9,False
2019-01-27,5,False
2019-02-03,13,False
2019-02-10,19,False
2019-02-17,23,False
2019-02-24,15,False
2019-03-03,15,False
2019-03-10,13,False
2019-03-17,22,False
2019-03-24,19,False
2019-03-31,23,False
2019-04-07,25,False
2019-04-14,16,False
2019-04-21,23,False
2019-04-28,13,False
2019-05-05,23,False
2019-05-12,12,False
2019-05-19,11,False
2019-05-26,11,False
2019-06-02,15,False
2019-06-09,14,False
2019-06-16,19,False
2019-06-23,19,False
2019-06-30,8,False
2019-07-07,13,False
2019-07-14,15,False
2019-07-21,7,False
2019-07-28,16,False
2019-08-04,13,False
2019-08-11,11,False
2019-08-18,14,False
2019-08-25,15,False
2019-09-01,16,False
2019-09-08,14,False
2019-09-15,9,False
2019-09-22,7,False
2019-09-29,5,False
2019-10-06,10,False
2019-10-13,7,False
2019-10-20,15,False
2019-10-27,10,False
2019-11-03,10,False
2019-11-10,10,False
2019-11-17,11,False
2019-11-24,8,False
2019-12-01,8,False
2019-12-08,6,False
2019-12-15,6,False
2019-12-22,6,False
2019-12-29,16,False
2020-01-05,8,False
2020-01-12,10,False
2020-01-19,11,False
2020-01-26,10,False
2020-02-02,6,False
2020-02-09,13,False
2020-02-16,13,False
2020-02-23,13,False
2020-03-01,12,False
2020-03-08,16,False
2020-03-15,56,False
2020-03-22,42,False
2020-03-29,54,False
2020-04-05,100,False
2020-04-12,57,False
2020-04-19,49,False
2020-04-26,39,False
2020-05-03,27,False
2020-05-10,29,False
2020-05-17,29,True
