date,faire son jardin,isPartial
2018-01-07,36,False
2018-01-14,36,False
2018-01-21,36,False
2018-01-28,37,False
2018-02-04,0,False
2018-02-11,37,False
2018-02-18,37,False
2018-02-25,0,False
2018-03-04,36,False
2018-03-11,0,False
2018-03-18,36,False
2018-03-25,71,False
2018-04-01,36,False
2018-04-08,0,False
2018-04-15,39,False
2018-04-22,38,False
2018-04-29,39,False
2018-05-06,77,False
2018-05-13,36,False
2018-05-20,37,False
2018-05-27,0,False
2018-06-03,36,False
2018-06-10,0,False
2018-06-17,36,False
2018-06-24,37,False
2018-07-01,74,False
2018-07-08,38,False
2018-07-15,0,False
2018-07-22,41,False
2018-07-29,41,False
2018-08-05,42,False
2018-08-12,43,False
2018-08-19,41,False
2018-08-26,0,False
2018-09-02,50,False
2018-09-09,37,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,37,False
2018-10-14,37,False
2018-10-21,38,False
2018-10-28,37,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,41,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,35,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,34,False
2019-02-10,0,False
2019-02-17,37,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,36,False
2019-03-24,36,False
2019-03-31,35,False
2019-04-07,34,False
2019-04-14,38,False
2019-04-21,87,False
2019-04-28,31,False
2019-05-05,60,False
2019-05-12,31,False
2019-05-19,0,False
2019-05-26,31,False
2019-06-02,30,False
2019-06-09,0,False
2019-06-16,100,False
2019-06-23,33,False
2019-06-30,32,False
2019-07-07,34,False
2019-07-14,33,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,37,False
2019-08-11,39,False
2019-08-18,79,False
2019-08-25,54,False
2019-09-01,34,False
2019-09-08,0,False
2019-09-15,35,False
2019-09-22,31,False
2019-09-29,29,False
2019-10-06,29,False
2019-10-13,29,False
2019-10-20,29,False
2019-10-27,30,False
2019-11-03,0,False
2019-11-10,28,False
2019-11-17,28,False
2019-11-24,27,False
2019-12-01,0,False
2019-12-08,31,False
2019-12-15,0,False
2019-12-22,34,False
2019-12-29,33,False
2020-01-05,0,False
2020-01-12,54,False
2020-01-19,28,False
2020-01-26,28,False
2020-02-02,0,False
2020-02-09,41,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,28,False
2020-03-08,27,False
2020-03-15,38,False
2020-03-22,66,False
2020-03-29,66,False
2020-04-05,67,False
2020-04-12,76,False
2020-04-19,50,False
2020-04-26,46,False
2020-05-03,47,False
2020-05-10,0,False
2020-05-17,46,True
