date,faire son jardin,isPartial
2018-01-07,22,False
2018-01-14,0,False
2018-01-21,22,False
2018-01-28,22,False
2018-02-04,22,False
2018-02-11,0,False
2018-02-18,45,False
2018-02-25,31,False
2018-03-04,21,False
2018-03-11,43,False
2018-03-18,22,False
2018-03-25,45,False
2018-04-01,34,False
2018-04-08,31,False
2018-04-15,25,False
2018-04-22,58,False
2018-04-29,23,False
2018-05-06,24,False
2018-05-13,67,False
2018-05-20,23,False
2018-05-27,34,False
2018-06-03,23,False
2018-06-10,22,False
2018-06-17,0,False
2018-06-24,23,False
2018-07-01,0,False
2018-07-08,23,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,25,False
2018-08-05,0,False
2018-08-12,26,False
2018-08-19,25,False
2018-08-26,23,False
2018-09-02,0,False
2018-09-09,24,False
2018-09-16,24,False
2018-09-23,23,False
2018-09-30,0,False
2018-10-07,23,False
2018-10-14,23,False
2018-10-21,24,False
2018-10-28,23,False
2018-11-04,22,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,45,False
2018-12-09,23,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,24,False
2019-01-06,0,False
2019-01-13,22,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,22,False
2019-02-10,22,False
2019-02-17,30,False
2019-02-24,33,False
2019-03-03,21,False
2019-03-10,43,False
2019-03-17,23,False
2019-03-24,44,False
2019-03-31,42,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,44,False
2019-04-28,31,False
2019-05-05,0,False
2019-05-12,21,False
2019-05-19,56,False
2019-05-26,0,False
2019-06-02,21,False
2019-06-09,40,False
2019-06-16,43,False
2019-06-23,22,False
2019-06-30,0,False
2019-07-07,31,False
2019-07-14,32,False
2019-07-21,22,False
2019-07-28,22,False
2019-08-04,22,False
2019-08-11,70,False
2019-08-18,36,False
2019-08-25,45,False
2019-09-01,20,False
2019-09-08,27,False
2019-09-15,20,False
2019-09-22,20,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,21,False
2019-10-20,20,False
2019-10-27,20,False
2019-11-03,38,False
2019-11-10,20,False
2019-11-17,19,False
2019-11-24,28,False
2019-12-01,19,False
2019-12-08,0,False
2019-12-15,19,False
2019-12-22,42,False
2019-12-29,20,False
2020-01-05,19,False
2020-01-12,37,False
2020-01-19,19,False
2020-01-26,18,False
2020-02-02,0,False
2020-02-09,18,False
2020-02-16,44,False
2020-02-23,18,False
2020-03-01,18,False
2020-03-08,0,False
2020-03-15,67,False
2020-03-22,41,False
2020-03-29,55,False
2020-04-05,100,False
2020-04-12,56,False
2020-04-19,68,False
2020-04-26,24,False
2020-05-03,27,False
2020-05-10,0,False
2020-05-17,64,True
