date,insert granules,isPartial
2018-01-07,19,False
2018-01-14,57,False
2018-01-21,19,False
2018-01-28,48,False
2018-02-04,38,False
2018-02-11,32,False
2018-02-18,30,False
2018-02-25,39,False
2018-03-04,32,False
2018-03-11,29,False
2018-03-18,49,False
2018-03-25,20,False
2018-04-01,20,False
2018-04-08,20,False
2018-04-15,42,False
2018-04-22,20,False
2018-04-29,20,False
2018-05-06,41,False
2018-05-13,19,False
2018-05-20,30,False
2018-05-27,32,False
2018-06-03,26,False
2018-06-10,19,False
2018-06-17,0,False
2018-06-24,20,False
2018-07-01,0,False
2018-07-08,20,False
2018-07-15,21,False
2018-07-22,21,False
2018-07-29,0,False
2018-08-05,21,False
2018-08-12,0,False
2018-08-19,21,False
2018-08-26,0,False
2018-09-02,40,False
2018-09-09,20,False
2018-09-16,46,False
2018-09-23,46,False
2018-09-30,40,False
2018-10-07,27,False
2018-10-14,46,False
2018-10-21,40,False
2018-10-28,100,False
2018-11-04,51,False
2018-11-11,45,False
2018-11-18,57,False
2018-11-25,84,False
2018-12-02,32,False
2018-12-09,39,False
2018-12-16,60,False
2018-12-23,67,False
2018-12-30,42,False
2019-01-06,39,False
2019-01-13,38,False
2019-01-20,19,False
2019-01-27,19,False
2019-02-03,81,False
2019-02-10,39,False
2019-02-17,40,False
2019-02-24,39,False
2019-03-03,29,False
2019-03-10,39,False
2019-03-17,20,False
2019-03-24,0,False
2019-03-31,32,False
2019-04-07,20,False
2019-04-14,0,False
2019-04-21,33,False
2019-04-28,0,False
2019-05-05,32,False
2019-05-12,19,False
2019-05-19,28,False
2019-05-26,29,False
2019-06-02,27,False
2019-06-09,25,False
2019-06-16,19,False
2019-06-23,19,False
2019-06-30,19,False
2019-07-07,19,False
2019-07-14,20,False
2019-07-21,20,False
2019-07-28,21,False
2019-08-04,21,False
2019-08-11,21,False
2019-08-18,20,False
2019-08-25,26,False
2019-09-01,25,False
2019-09-08,93,False
2019-09-15,36,False
2019-09-22,62,False
2019-09-29,18,False
2019-10-06,24,False
2019-10-13,30,False
2019-10-20,36,False
2019-10-27,77,False
2019-11-03,35,False
2019-11-10,18,False
2019-11-17,70,False
2019-11-24,51,False
2019-12-01,26,False
2019-12-08,40,False
2019-12-15,17,False
2019-12-22,0,False
2019-12-29,37,False
2020-01-05,34,False
2020-01-12,50,False
2020-01-19,34,False
2020-01-26,22,False
2020-02-02,17,False
2020-02-09,34,False
2020-02-16,51,False
2020-02-23,24,False
2020-03-01,22,False
2020-03-08,48,False
2020-03-15,15,False
2020-03-22,0,False
2020-03-29,15,False
2020-04-05,15,False
2020-04-12,15,False
2020-04-19,15,False
2020-04-26,14,False
2020-05-03,14,False
2020-05-10,30,False
2020-05-17,19,True
