date,Steinfiguren,isPartial
2018-01-07,0,False
2018-01-14,26,False
2018-01-21,52,False
2018-01-28,52,False
2018-02-04,27,False
2018-02-11,28,False
2018-02-18,28,False
2018-02-25,0,False
2018-03-04,27,False
2018-03-11,54,False
2018-03-18,0,False
2018-03-25,29,False
2018-04-01,30,False
2018-04-08,65,False
2018-04-15,56,False
2018-04-22,69,False
2018-04-29,42,False
2018-05-06,28,False
2018-05-13,27,False
2018-05-20,29,False
2018-05-27,43,False
2018-06-03,41,False
2018-06-10,26,False
2018-06-17,39,False
2018-06-24,26,False
2018-07-01,43,False
2018-07-08,26,False
2018-07-15,35,False
2018-07-22,26,False
2018-07-29,0,False
2018-08-05,28,False
2018-08-12,29,False
2018-08-19,58,False
2018-08-26,0,False
2018-09-02,47,False
2018-09-09,27,False
2018-09-16,55,False
2018-09-23,0,False
2018-09-30,41,False
2018-10-07,27,False
2018-10-14,54,False
2018-10-21,27,False
2018-10-28,27,False
2018-11-04,0,False
2018-11-11,26,False
2018-11-18,25,False
2018-11-25,0,False
2018-12-02,26,False
2018-12-09,26,False
2018-12-16,0,False
2018-12-23,42,False
2018-12-30,28,False
2019-01-06,0,False
2019-01-13,24,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,25,False
2019-02-24,0,False
2019-03-03,26,False
2019-03-10,25,False
2019-03-17,40,False
2019-03-24,26,False
2019-03-31,40,False
2019-04-07,26,False
2019-04-14,0,False
2019-04-21,36,False
2019-04-28,26,False
2019-05-05,49,False
2019-05-12,34,False
2019-05-19,50,False
2019-05-26,65,False
2019-06-02,39,False
2019-06-09,27,False
2019-06-16,54,False
2019-06-23,52,False
2019-06-30,25,False
2019-07-07,24,False
2019-07-14,34,False
2019-07-21,0,False
2019-07-28,78,False
2019-08-04,68,False
2019-08-11,27,False
2019-08-18,56,False
2019-08-25,27,False
2019-09-01,51,False
2019-09-08,51,False
2019-09-15,26,False
2019-09-22,37,False
2019-09-29,100,False
2019-10-06,49,False
2019-10-13,41,False
2019-10-20,24,False
2019-10-27,0,False
2019-11-03,24,False
2019-11-10,36,False
2019-11-17,24,False
2019-11-24,35,False
2019-12-01,24,False
2019-12-08,24,False
2019-12-15,25,False
2019-12-22,28,False
2019-12-29,0,False
2020-01-05,23,False
2020-01-12,23,False
2020-01-19,0,False
2020-01-26,23,False
2020-02-02,0,False
2020-02-09,22,False
2020-02-16,23,False
2020-02-23,23,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,20,False
2020-03-22,21,False
2020-03-29,21,False
2020-04-05,30,False
2020-04-12,21,False
2020-04-19,42,False
2020-04-26,21,False
2020-05-03,32,False
2020-05-10,53,False
