date,Steinfiguren,isPartial
2018-01-07,0,False
2018-01-14,51,False
2018-01-21,38,False
2018-01-28,38,False
2018-02-04,53,False
2018-02-11,78,False
2018-02-18,51,False
2018-02-25,51,False
2018-03-04,26,False
2018-03-11,26,False
2018-03-18,52,False
2018-03-25,41,False
2018-04-01,96,False
2018-04-08,39,False
2018-04-15,27,False
2018-04-22,38,False
2018-04-29,53,False
2018-05-06,40,False
2018-05-13,64,False
2018-05-20,27,False
2018-05-27,34,False
2018-06-03,52,False
2018-06-10,25,False
2018-06-17,50,False
2018-06-24,52,False
2018-07-01,51,False
2018-07-08,33,False
2018-07-15,80,False
2018-07-22,0,False
2018-07-29,91,False
2018-08-05,27,False
2018-08-12,54,False
2018-08-19,27,False
2018-08-26,52,False
2018-09-02,39,False
2018-09-09,52,False
2018-09-16,39,False
2018-09-23,26,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,27,False
2018-10-21,26,False
2018-10-28,26,False
2018-11-04,50,False
2018-11-11,75,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,25,False
2018-12-16,26,False
2018-12-23,58,False
2018-12-30,0,False
2019-01-06,36,False
2019-01-13,24,False
2019-01-20,24,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,37,False
2019-02-17,25,False
2019-02-24,50,False
2019-03-03,32,False
2019-03-10,35,False
2019-03-17,33,False
2019-03-24,49,False
2019-03-31,24,False
2019-04-07,50,False
2019-04-14,63,False
2019-04-21,26,False
2019-04-28,25,False
2019-05-05,48,False
2019-05-12,37,False
2019-05-19,97,False
2019-05-26,42,False
2019-06-02,61,False
2019-06-09,37,False
2019-06-16,25,False
2019-06-23,42,False
2019-06-30,49,False
2019-07-07,48,False
2019-07-14,43,False
2019-07-21,56,False
2019-07-28,54,False
2019-08-04,68,False
2019-08-11,26,False
2019-08-18,26,False
2019-08-25,100,False
2019-09-01,48,False
2019-09-08,33,False
2019-09-15,25,False
2019-09-22,48,False
2019-09-29,65,False
2019-10-06,24,False
2019-10-13,40,False
2019-10-20,36,False
2019-10-27,35,False
2019-11-03,23,False
2019-11-10,23,False
2019-11-17,22,False
2019-11-24,22,False
2019-12-01,46,False
2019-12-08,46,False
2019-12-15,0,False
2019-12-22,26,False
2019-12-29,0,False
2020-01-05,22,False
2020-01-12,21,False
2020-01-19,33,False
2020-01-26,21,False
2020-02-02,32,False
2020-02-09,0,False
2020-02-16,36,False
2020-02-23,32,False
2020-03-01,31,False
2020-03-08,46,False
2020-03-15,20,False
2020-03-22,20,False
2020-03-29,52,False
2020-04-05,64,False
2020-04-12,51,False
2020-04-19,73,False
2020-04-26,45,False
2020-05-03,39,False
2020-05-10,46,False
