date,trucco occhi sposa,isPartial
2018-01-07,37,False
2018-01-14,18,False
2018-01-21,82,False
2018-01-28,63,False
2018-02-04,44,False
2018-02-11,18,False
2018-02-18,53,False
2018-02-25,43,False
2018-03-04,35,False
2018-03-11,27,False
2018-03-18,45,False
2018-03-25,56,False
2018-04-01,29,False
2018-04-08,54,False
2018-04-15,46,False
2018-04-22,29,False
2018-04-29,37,False
2018-05-06,36,False
2018-05-13,81,False
2018-05-20,45,False
2018-05-27,64,False
2018-06-03,55,False
2018-06-10,70,False
2018-06-17,36,False
2018-06-24,73,False
2018-07-01,90,False
2018-07-08,36,False
2018-07-15,18,False
2018-07-22,28,False
2018-07-29,19,False
2018-08-05,38,False
2018-08-12,21,False
2018-08-19,100,False
2018-08-26,28,False
2018-09-02,26,False
2018-09-09,62,False
2018-09-16,26,False
2018-09-23,62,False
2018-09-30,35,False
2018-10-07,18,False
2018-10-14,18,False
2018-10-21,18,False
2018-10-28,0,False
2018-11-04,35,False
2018-11-11,18,False
2018-11-18,0,False
2018-11-25,18,False
2018-12-02,37,False
2018-12-09,18,False
2018-12-16,28,False
2018-12-23,0,False
2018-12-30,20,False
2019-01-06,0,False
2019-01-13,18,False
2019-01-20,17,False
2019-01-27,17,False
2019-02-03,17,False
2019-02-10,69,False
2019-02-17,53,False
2019-02-24,69,False
2019-03-03,36,False
2019-03-10,44,False
2019-03-17,18,False
2019-03-24,45,False
2019-03-31,45,False
2019-04-07,89,False
2019-04-14,19,False
2019-04-21,29,False
2019-04-28,27,False
2019-05-05,26,False
2019-05-12,34,False
2019-05-19,34,False
2019-05-26,33,False
2019-06-02,44,False
2019-06-09,45,False
2019-06-16,54,False
2019-06-23,36,False
2019-06-30,18,False
2019-07-07,17,False
2019-07-14,27,False
2019-07-21,37,False
2019-07-28,28,False
2019-08-04,38,False
2019-08-11,20,False
2019-08-18,38,False
2019-08-25,26,False
2019-09-01,33,False
2019-09-08,86,False
2019-09-15,33,False
2019-09-22,25,False
2019-09-29,33,False
2019-10-06,0,False
2019-10-13,25,False
2019-10-20,0,False
2019-10-27,16,False
2019-11-03,16,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,17,False
2019-12-08,0,False
2019-12-15,17,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,17,False
2020-01-12,23,False
2020-01-19,31,False
2020-01-26,15,False
2020-02-02,15,False
2020-02-09,0,False
2020-02-16,24,False
2020-02-23,15,False
2020-03-01,15,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,20,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,14,False
2020-04-19,0,False
2020-04-26,24,True
