date,Baufirma,isPartial
2018-01-07,52,False
2018-01-14,0,False
2018-01-21,68,False
2018-01-28,34,False
2018-02-04,35,False
2018-02-11,68,False
2018-02-18,69,False
2018-02-25,0,False
2018-03-04,68,False
2018-03-11,86,False
2018-03-18,0,False
2018-03-25,34,False
2018-04-01,37,False
2018-04-08,72,False
2018-04-15,74,False
2018-04-22,0,False
2018-04-29,35,False
2018-05-06,36,False
2018-05-13,0,False
2018-05-20,36,False
2018-05-27,34,False
2018-06-03,52,False
2018-06-10,32,False
2018-06-17,32,False
2018-06-24,34,False
2018-07-01,34,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,34,False
2018-07-29,68,False
2018-08-05,49,False
2018-08-12,33,False
2018-08-19,0,False
2018-08-26,33,False
2018-09-02,0,False
2018-09-09,33,False
2018-09-16,100,False
2018-09-23,68,False
2018-09-30,0,False
2018-10-07,73,False
2018-10-14,0,False
2018-10-21,33,False
2018-10-28,33,False
2018-11-04,33,False
2018-11-11,67,False
2018-11-18,32,False
2018-11-25,50,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,34,False
2019-01-06,32,False
2019-01-13,31,False
2019-01-20,32,False
2019-01-27,32,False
2019-02-03,95,False
2019-02-10,81,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,66,False
2019-03-31,34,False
2019-04-07,68,False
2019-04-14,52,False
2019-04-21,0,False
2019-04-28,63,False
2019-05-05,32,False
2019-05-12,33,False
2019-05-19,63,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,31,False
2019-06-16,31,False
2019-06-23,32,False
2019-06-30,93,False
2019-07-07,62,False
2019-07-14,47,False
2019-07-21,65,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,29,False
2019-08-18,45,False
2019-08-25,60,False
2019-09-01,29,False
2019-09-08,30,False
2019-09-15,0,False
2019-09-22,60,False
2019-09-29,44,False
2019-10-06,30,False
2019-10-13,29,False
2019-10-20,29,False
2019-10-27,29,False
2019-11-03,29,False
2019-11-10,29,False
2019-11-17,29,False
2019-11-24,29,False
2019-12-01,89,False
2019-12-08,0,False
2019-12-15,30,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,42,False
2020-01-12,0,False
2020-01-19,28,False
2020-01-26,84,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,69,False
2020-02-23,54,False
2020-03-01,69,False
2020-03-08,26,False
2020-03-15,24,False
2020-03-22,24,False
2020-03-29,24,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,50,False
2020-04-26,24,False
2020-05-03,74,False
2020-05-10,73,False
