date,Baufirma,isPartial
2018-01-07,25,False
2018-01-14,27,False
2018-01-21,27,False
2018-01-28,54,False
2018-02-04,28,False
2018-02-11,42,False
2018-02-18,36,False
2018-02-25,55,False
2018-03-04,53,False
2018-03-11,27,False
2018-03-18,83,False
2018-03-25,0,False
2018-04-01,27,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,56,False
2018-04-29,29,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,27,False
2018-06-03,42,False
2018-06-10,26,False
2018-06-17,52,False
2018-06-24,40,False
2018-07-01,50,False
2018-07-08,23,False
2018-07-15,23,False
2018-07-22,0,False
2018-07-29,20,False
2018-08-05,20,False
2018-08-12,20,False
2018-08-19,35,False
2018-08-26,27,False
2018-09-02,0,False
2018-09-09,44,False
2018-09-16,27,False
2018-09-23,27,False
2018-09-30,27,False
2018-10-07,28,False
2018-10-14,27,False
2018-10-21,26,False
2018-10-28,26,False
2018-11-04,0,False
2018-11-11,27,False
2018-11-18,26,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,27,False
2018-12-16,0,False
2018-12-23,27,False
2018-12-30,24,False
2019-01-06,49,False
2019-01-13,25,False
2019-01-20,25,False
2019-01-27,38,False
2019-02-03,39,False
2019-02-10,27,False
2019-02-17,26,False
2019-02-24,0,False
2019-03-03,25,False
2019-03-10,25,False
2019-03-17,38,False
2019-03-24,39,False
2019-03-31,27,False
2019-04-07,0,False
2019-04-14,54,False
2019-04-21,25,False
2019-04-28,25,False
2019-05-05,100,False
2019-05-12,0,False
2019-05-19,37,False
2019-05-26,48,False
2019-06-02,24,False
2019-06-09,24,False
2019-06-16,25,False
2019-06-23,25,False
2019-06-30,23,False
2019-07-07,24,False
2019-07-14,31,False
2019-07-21,24,False
2019-07-28,0,False
2019-08-04,23,False
2019-08-11,34,False
2019-08-18,24,False
2019-08-25,23,False
2019-09-01,23,False
2019-09-08,46,False
2019-09-15,23,False
2019-09-22,24,False
2019-09-29,23,False
2019-10-06,24,False
2019-10-13,36,False
2019-10-20,22,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,22,False
2019-11-24,23,False
2019-12-01,23,False
2019-12-08,23,False
2019-12-15,24,False
2019-12-22,25,False
2019-12-29,22,False
2020-01-05,21,False
2020-01-12,21,False
2020-01-19,21,False
2020-01-26,31,False
2020-02-02,21,False
2020-02-09,30,False
2020-02-16,22,False
2020-02-23,53,False
2020-03-01,21,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,20,False
2020-03-29,19,False
2020-04-05,43,False
2020-04-12,31,False
2020-04-19,20,False
2020-04-26,0,False
2020-05-03,30,False
2020-05-10,30,False
