date,banda rock,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,21,False
2018-02-18,22,False
2018-02-25,0,False
2018-03-04,22,False
2018-03-11,0,False
2018-03-18,23,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,24,False
2018-04-22,49,False
2018-04-29,24,False
2018-05-06,23,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,34,False
2018-06-03,23,False
2018-06-10,45,False
2018-06-17,0,False
2018-06-24,23,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,23,False
2018-07-29,23,False
2018-08-05,24,False
2018-08-12,51,False
2018-08-19,23,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,23,False
2018-09-16,33,False
2018-09-23,0,False
2018-09-30,23,False
2018-10-07,23,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,23,False
2018-12-02,24,False
2018-12-09,0,False
2018-12-16,25,False
2018-12-23,27,False
2018-12-30,0,False
2019-01-06,22,False
2019-01-13,0,False
2019-01-20,21,False
2019-01-27,21,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,21,False
2019-02-24,21,False
2019-03-03,22,False
2019-03-10,22,False
2019-03-17,100,False
2019-03-24,34,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,67,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,21,False
2019-05-19,20,False
2019-05-26,0,False
2019-06-02,22,False
2019-06-09,33,False
2019-06-16,22,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,22,False
2019-07-14,23,False
2019-07-21,23,False
2019-07-28,34,False
2019-08-04,24,False
2019-08-11,51,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,21,False
2019-09-29,21,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,20,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,20,False
2019-11-17,20,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,21,False
2019-12-15,0,False
2019-12-22,60,False
2019-12-29,68,False
2020-01-05,0,False
2020-01-12,19,False
2020-01-19,0,False
2020-01-26,38,False
2020-02-02,29,False
2020-02-09,19,False
2020-02-16,38,False
2020-02-23,37,False
2020-03-01,36,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,33,False
2020-03-29,17,False
2020-04-05,18,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,True
