date,banda rock,isPartial
2018-01-07,13,False
2018-01-14,13,False
2018-01-21,17,False
2018-01-28,11,False
2018-02-04,25,False
2018-02-11,16,False
2018-02-18,9,False
2018-02-25,14,False
2018-03-04,14,False
2018-03-11,11,False
2018-03-18,16,False
2018-03-25,10,False
2018-04-01,19,False
2018-04-08,19,False
2018-04-15,16,False
2018-04-22,18,False
2018-04-29,16,False
2018-05-06,14,False
2018-05-13,16,False
2018-05-20,13,False
2018-05-27,11,False
2018-06-03,43,False
2018-06-10,14,False
2018-06-17,13,False
2018-06-24,32,False
2018-07-01,17,False
2018-07-08,17,False
2018-07-15,18,False
2018-07-22,29,False
2018-07-29,16,False
2018-08-05,12,False
2018-08-12,23,False
2018-08-19,16,False
2018-08-26,15,False
2018-09-02,11,False
2018-09-09,26,False
2018-09-16,26,False
2018-09-23,8,False
2018-09-30,8,False
2018-10-07,11,False
2018-10-14,14,False
2018-10-21,5,False
2018-10-28,11,False
2018-11-04,6,False
2018-11-11,9,False
2018-11-18,6,False
2018-11-25,13,False
2018-12-02,3,False
2018-12-09,8,False
2018-12-16,15,False
2018-12-23,17,False
2018-12-30,20,False
2019-01-06,22,False
2019-01-13,17,False
2019-01-20,16,False
2019-01-27,16,False
2019-02-03,7,False
2019-02-10,24,False
2019-02-17,15,False
2019-02-24,14,False
2019-03-03,35,False
2019-03-10,15,False
2019-03-17,100,False
2019-03-24,17,False
2019-03-31,11,False
2019-04-07,11,False
2019-04-14,29,False
2019-04-21,30,False
2019-04-28,14,False
2019-05-05,16,False
2019-05-12,7,False
2019-05-19,12,False
2019-05-26,16,False
2019-06-02,15,False
2019-06-09,28,False
2019-06-16,11,False
2019-06-23,8,False
2019-06-30,6,False
2019-07-07,14,False
2019-07-14,9,False
2019-07-21,11,False
2019-07-28,26,False
2019-08-04,22,False
2019-08-11,18,False
2019-08-18,13,False
2019-08-25,9,False
2019-09-01,14,False
2019-09-08,13,False
2019-09-15,11,False
2019-09-22,7,False
2019-09-29,12,False
2019-10-06,9,False
2019-10-13,20,False
2019-10-20,16,False
2019-10-27,14,False
2019-11-03,8,False
2019-11-10,7,False
2019-11-17,8,False
2019-11-24,10,False
2019-12-01,12,False
2019-12-08,7,False
2019-12-15,13,False
2019-12-22,19,False
2019-12-29,15,False
2020-01-05,13,False
2020-01-12,12,False
2020-01-19,12,False
2020-01-26,16,False
2020-02-02,12,False
2020-02-09,17,False
2020-02-16,31,False
2020-02-23,9,False
2020-03-01,15,False
2020-03-08,11,False
2020-03-15,16,False
2020-03-22,22,False
2020-03-29,13,False
2020-04-05,22,False
2020-04-12,21,False
2020-04-19,19,False
2020-04-26,12,True
