date,spettacoli per bambini,isPartial
2018-01-07,36,False
2018-01-14,40,False
2018-01-21,50,False
2018-01-28,25,False
2018-02-04,24,False
2018-02-11,35,False
2018-02-18,29,False
2018-02-25,24,False
2018-03-04,10,False
2018-03-11,49,False
2018-03-18,29,False
2018-03-25,10,False
2018-04-01,32,False
2018-04-08,30,False
2018-04-15,15,False
2018-04-22,21,False
2018-04-29,20,False
2018-05-06,20,False
2018-05-13,15,False
2018-05-20,10,False
2018-05-27,20,False
2018-06-03,10,False
2018-06-10,10,False
2018-06-17,20,False
2018-06-24,10,False
2018-07-01,10,False
2018-07-08,40,False
2018-07-15,25,False
2018-07-22,20,False
2018-07-29,15,False
2018-08-05,21,False
2018-08-12,11,False
2018-08-19,11,False
2018-08-26,20,False
2018-09-02,19,False
2018-09-09,15,False
2018-09-16,24,False
2018-09-23,10,False
2018-09-30,54,False
2018-10-07,15,False
2018-10-14,56,False
2018-10-21,25,False
2018-10-28,53,False
2018-11-04,62,False
2018-11-11,55,False
2018-11-18,29,False
2018-11-25,69,False
2018-12-02,100,False
2018-12-09,25,False
2018-12-16,83,False
2018-12-23,47,False
2018-12-30,54,False
2019-01-06,80,False
2019-01-13,29,False
2019-01-20,28,False
2019-01-27,18,False
2019-02-03,19,False
2019-02-10,19,False
2019-02-17,19,False
2019-02-24,24,False
2019-03-03,25,False
2019-03-10,15,False
2019-03-17,20,False
2019-03-24,30,False
2019-03-31,10,False
2019-04-07,34,False
2019-04-14,10,False
2019-04-21,11,False
2019-04-28,25,False
2019-05-05,28,False
2019-05-12,24,False
2019-05-19,28,False
2019-05-26,14,False
2019-06-02,19,False
2019-06-09,10,False
2019-06-16,10,False
2019-06-23,20,False
2019-06-30,10,False
2019-07-07,19,False
2019-07-14,20,False
2019-07-21,10,False
2019-07-28,10,False
2019-08-04,11,False
2019-08-11,17,False
2019-08-18,10,False
2019-08-25,14,False
2019-09-01,22,False
2019-09-08,14,False
2019-09-15,14,False
2019-09-22,14,False
2019-09-29,27,False
2019-10-06,23,False
2019-10-13,60,False
2019-10-20,62,False
2019-10-27,45,False
2019-11-03,35,False
2019-11-10,49,False
2019-11-17,31,False
2019-11-24,40,False
2019-12-01,83,False
2019-12-08,28,False
2019-12-15,37,False
2019-12-22,21,False
2019-12-29,41,False
2020-01-05,27,False
2020-01-12,42,False
2020-01-19,47,False
2020-01-26,47,False
2020-02-02,21,False
2020-02-09,35,False
2020-02-16,17,False
2020-02-23,8,False
2020-03-01,12,False
2020-03-08,8,False
2020-03-15,16,False
2020-03-22,14,False
2020-03-29,0,False
2020-04-05,16,False
2020-04-12,8,False
2020-04-19,7,False
2020-04-26,26,True
