date,Entrümpelung,isPartial
2018-01-07,0,False
2018-01-14,42,False
2018-01-21,0,False
2018-01-28,28,False
2018-02-04,30,False
2018-02-11,0,False
2018-02-18,28,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,29,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,31,False
2018-04-15,32,False
2018-04-22,30,False
2018-04-29,31,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,29,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,29,False
2018-07-08,0,False
2018-07-15,31,False
2018-07-22,0,False
2018-07-29,30,False
2018-08-05,0,False
2018-08-12,30,False
2018-08-19,29,False
2018-08-26,29,False
2018-09-02,30,False
2018-09-09,30,False
2018-09-16,29,False
2018-09-23,29,False
2018-09-30,29,False
2018-10-07,29,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,28,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,28,False
2018-12-16,29,False
2018-12-23,30,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,26,False
2019-01-20,26,False
2019-01-27,40,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,27,False
2019-02-24,40,False
2019-03-03,0,False
2019-03-10,26,False
2019-03-17,27,False
2019-03-24,0,False
2019-03-31,29,False
2019-04-07,28,False
2019-04-14,30,False
2019-04-21,0,False
2019-04-28,27,False
2019-05-05,53,False
2019-05-12,0,False
2019-05-19,27,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,27,False
2019-06-16,36,False
2019-06-23,70,False
2019-06-30,73,False
2019-07-07,95,False
2019-07-14,84,False
2019-07-21,29,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,68,False
2019-08-18,44,False
2019-08-25,51,False
2019-09-01,38,False
2019-09-08,52,False
2019-09-15,26,False
2019-09-22,51,False
2019-09-29,42,False
2019-10-06,36,False
2019-10-13,77,False
2019-10-20,25,False
2019-10-27,41,False
2019-11-03,48,False
2019-11-10,85,False
2019-11-17,24,False
2019-11-24,23,False
2019-12-01,64,False
2019-12-08,40,False
2019-12-15,24,False
2019-12-22,34,False
2019-12-29,49,False
2020-01-05,46,False
2020-01-12,38,False
2020-01-19,47,False
2020-01-26,46,False
2020-02-02,96,False
2020-02-09,34,False
2020-02-16,100,False
2020-02-23,58,False
2020-03-01,45,False
2020-03-08,36,False
2020-03-15,40,False
2020-03-22,77,False
2020-03-29,38,False
2020-04-05,32,False
2020-04-12,52,False
2020-04-19,40,False
2020-04-26,45,False
2020-05-03,80,False
2020-05-10,30,False
