date,Holzhaus,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,22,False
2018-01-28,0,False
2018-02-04,24,False
2018-02-11,45,False
2018-02-18,43,False
2018-02-25,0,False
2018-03-04,22,False
2018-03-11,22,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,71,False
2018-04-08,23,False
2018-04-15,23,False
2018-04-22,23,False
2018-04-29,23,False
2018-05-06,0,False
2018-05-13,44,False
2018-05-20,45,False
2018-05-27,69,False
2018-06-03,22,False
2018-06-10,43,False
2018-06-17,67,False
2018-06-24,22,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,23,False
2018-07-29,23,False
2018-08-05,0,False
2018-08-12,23,False
2018-08-19,22,False
2018-08-26,0,False
2018-09-02,22,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,43,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,66,False
2018-10-28,0,False
2018-11-04,42,False
2018-11-11,63,False
2018-11-18,41,False
2018-11-25,41,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,24,False
2018-12-30,21,False
2019-01-06,57,False
2019-01-13,40,False
2019-01-20,20,False
2019-01-27,0,False
2019-02-03,42,False
2019-02-10,0,False
2019-02-17,20,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,40,False
2019-03-31,21,False
2019-04-07,41,False
2019-04-14,22,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,38,False
2019-05-12,78,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,40,False
2019-06-09,21,False
2019-06-16,41,False
2019-06-23,0,False
2019-06-30,20,False
2019-07-07,0,False
2019-07-14,21,False
2019-07-21,64,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,40,False
2019-08-18,19,False
2019-08-25,37,False
2019-09-01,36,False
2019-09-08,19,False
2019-09-15,20,False
2019-09-22,0,False
2019-09-29,37,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,19,False
2019-10-27,0,False
2019-11-03,18,False
2019-11-10,18,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,18,False
2019-12-08,56,False
2019-12-15,0,False
2019-12-22,41,False
2019-12-29,0,False
2020-01-05,17,False
2020-01-12,33,False
2020-01-19,34,False
2020-01-26,34,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,17,False
2020-02-23,34,False
2020-03-01,51,False
2020-03-08,16,False
2020-03-15,30,False
2020-03-22,14,False
2020-03-29,29,False
2020-04-05,32,False
2020-04-12,15,False
2020-04-19,46,False
2020-04-26,15,False
2020-05-03,0,False
2020-05-10,61,False
2020-05-17,100,False
2020-05-24,15,False
2020-05-31,31,False
2020-06-07,48,False
2020-06-14,62,False
2020-06-21,33,False
2020-06-28,0,False
2020-07-05,0,False
