date,Müllentsorgung,isPartial
2018-01-07,41,False
2018-01-14,40,False
2018-01-21,20,False
2018-01-28,20,False
2018-02-04,21,False
2018-02-11,51,False
2018-02-18,20,False
2018-02-25,20,False
2018-03-04,20,False
2018-03-11,47,False
2018-03-18,41,False
2018-03-25,41,False
2018-04-01,29,False
2018-04-08,32,False
2018-04-15,32,False
2018-04-22,40,False
2018-04-29,21,False
2018-05-06,21,False
2018-05-13,20,False
2018-05-20,21,False
2018-05-27,20,False
2018-06-03,20,False
2018-06-10,19,False
2018-06-17,39,False
2018-06-24,30,False
2018-07-01,20,False
2018-07-08,19,False
2018-07-15,28,False
2018-07-22,30,False
2018-07-29,20,False
2018-08-05,38,False
2018-08-12,38,False
2018-08-19,19,False
2018-08-26,39,False
2018-09-02,53,False
2018-09-09,29,False
2018-09-16,40,False
2018-09-23,27,False
2018-09-30,27,False
2018-10-07,32,False
2018-10-14,41,False
2018-10-21,20,False
2018-10-28,39,False
2018-11-04,0,False
2018-11-11,20,False
2018-11-18,38,False
2018-11-25,19,False
2018-12-02,20,False
2018-12-09,0,False
2018-12-16,20,False
2018-12-23,43,False
2018-12-30,33,False
2019-01-06,28,False
2019-01-13,19,False
2019-01-20,19,False
2019-01-27,28,False
2019-02-03,56,False
2019-02-10,19,False
2019-02-17,19,False
2019-02-24,0,False
2019-03-03,18,False
2019-03-10,31,False
2019-03-17,58,False
2019-03-24,39,False
2019-03-31,30,False
2019-04-07,31,False
2019-04-14,20,False
2019-04-21,39,False
2019-04-28,37,False
2019-05-05,38,False
2019-05-12,19,False
2019-05-19,19,False
2019-05-26,28,False
2019-06-02,18,False
2019-06-09,27,False
2019-06-16,37,False
2019-06-23,28,False
2019-06-30,24,False
2019-07-07,18,False
2019-07-14,18,False
2019-07-21,29,False
2019-07-28,54,False
2019-08-04,0,False
2019-08-11,34,False
2019-08-18,44,False
2019-08-25,18,False
2019-09-01,34,False
2019-09-08,36,False
2019-09-15,18,False
2019-09-22,18,False
2019-09-29,35,False
2019-10-06,36,False
2019-10-13,29,False
2019-10-20,43,False
2019-10-27,69,False
2019-11-03,34,False
2019-11-10,17,False
2019-11-17,23,False
2019-11-24,28,False
2019-12-01,26,False
2019-12-08,26,False
2019-12-15,29,False
2019-12-22,56,False
2019-12-29,68,False
2020-01-05,27,False
2020-01-12,37,False
2020-01-19,28,False
2020-01-26,33,False
2020-02-02,44,False
2020-02-09,21,False
2020-02-16,16,False
2020-02-23,16,False
2020-03-01,16,False
2020-03-08,20,False
2020-03-15,22,False
2020-03-22,100,False
2020-03-29,24,False
2020-04-05,32,False
2020-04-12,15,False
2020-04-19,34,False
2020-04-26,37,False
2020-05-03,29,False
2020-05-10,29,False
