date,fotos originales,isPartial
2018-01-07,0,False
2018-01-14,70,False
2018-01-21,35,False
2018-01-28,51,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,34,False
2018-03-04,69,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,37,False
2018-04-08,34,False
2018-04-15,70,False
2018-04-22,0,False
2018-04-29,35,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,36,False
2018-05-27,0,False
2018-06-03,34,False
2018-06-10,0,False
2018-06-17,37,False
2018-06-24,37,False
2018-07-01,0,False
2018-07-08,37,False
2018-07-15,0,False
2018-07-22,38,False
2018-07-29,0,False
2018-08-05,76,False
2018-08-12,0,False
2018-08-19,39,False
2018-08-26,38,False
2018-09-02,35,False
2018-09-09,68,False
2018-09-16,35,False
2018-09-23,68,False
2018-09-30,35,False
2018-10-07,36,False
2018-10-14,33,False
2018-10-21,52,False
2018-10-28,72,False
2018-11-04,35,False
2018-11-11,34,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,38,False
2018-12-09,36,False
2018-12-16,37,False
2018-12-23,0,False
2018-12-30,41,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,64,False
2019-01-27,0,False
2019-02-03,34,False
2019-02-10,0,False
2019-02-17,35,False
2019-02-24,0,False
2019-03-03,35,False
2019-03-10,71,False
2019-03-17,0,False
2019-03-24,35,False
2019-03-31,0,False
2019-04-07,36,False
2019-04-14,34,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,35,False
2019-05-12,35,False
2019-05-19,100,False
2019-05-26,66,False
2019-06-02,0,False
2019-06-09,34,False
2019-06-16,34,False
2019-06-23,35,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,37,False
2019-07-21,37,False
2019-07-28,37,False
2019-08-04,39,False
2019-08-11,76,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,30,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,32,False
2019-10-06,63,False
2019-10-13,31,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,30,False
2019-12-01,45,False
2019-12-08,32,False
2019-12-15,0,False
2019-12-22,50,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,28,False
2020-01-19,53,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,28,False
2020-02-23,0,False
2020-03-01,54,False
2020-03-08,26,False
2020-03-15,24,False
2020-03-22,22,False
2020-03-29,22,False
2020-04-05,25,False
2020-04-12,32,True
