date,fotos originales,isPartial
2018-01-07,21,False
2018-01-14,64,False
2018-01-21,14,False
2018-01-28,42,False
2018-02-04,55,False
2018-02-11,42,False
2018-02-18,63,False
2018-02-25,40,False
2018-03-04,42,False
2018-03-11,41,False
2018-03-18,35,False
2018-03-25,62,False
2018-04-01,43,False
2018-04-08,46,False
2018-04-15,28,False
2018-04-22,41,False
2018-04-29,56,False
2018-05-06,26,False
2018-05-13,28,False
2018-05-20,14,False
2018-05-27,55,False
2018-06-03,27,False
2018-06-10,0,False
2018-06-17,50,False
2018-06-24,21,False
2018-07-01,21,False
2018-07-08,14,False
2018-07-15,35,False
2018-07-22,43,False
2018-07-29,15,False
2018-08-05,37,False
2018-08-12,39,False
2018-08-19,54,False
2018-08-26,36,False
2018-09-02,42,False
2018-09-09,100,False
2018-09-16,40,False
2018-09-23,41,False
2018-09-30,21,False
2018-10-07,28,False
2018-10-14,68,False
2018-10-21,21,False
2018-10-28,29,False
2018-11-04,61,False
2018-11-11,14,False
2018-11-18,67,False
2018-11-25,56,False
2018-12-02,51,False
2018-12-09,50,False
2018-12-16,50,False
2018-12-23,69,False
2018-12-30,32,False
2019-01-06,21,False
2019-01-13,20,False
2019-01-20,39,False
2019-01-27,47,False
2019-02-03,41,False
2019-02-10,14,False
2019-02-17,48,False
2019-02-24,27,False
2019-03-03,41,False
2019-03-10,41,False
2019-03-17,34,False
2019-03-24,21,False
2019-03-31,60,False
2019-04-07,40,False
2019-04-14,15,False
2019-04-21,34,False
2019-04-28,32,False
2019-05-05,26,False
2019-05-12,26,False
2019-05-19,32,False
2019-05-26,32,False
2019-06-02,26,False
2019-06-09,39,False
2019-06-16,0,False
2019-06-23,28,False
2019-06-30,41,False
2019-07-07,33,False
2019-07-14,27,False
2019-07-21,35,False
2019-07-28,14,False
2019-08-04,22,False
2019-08-11,30,False
2019-08-18,37,False
2019-08-25,14,False
2019-09-01,13,False
2019-09-08,45,False
2019-09-15,19,False
2019-09-22,44,False
2019-09-29,31,False
2019-10-06,49,False
2019-10-13,24,False
2019-10-20,12,False
2019-10-27,13,False
2019-11-03,37,False
2019-11-10,31,False
2019-11-17,25,False
2019-11-24,24,False
2019-12-01,58,False
2019-12-08,78,False
2019-12-15,76,False
2019-12-22,44,False
2019-12-29,76,False
2020-01-05,32,False
2020-01-12,18,False
2020-01-19,40,False
2020-01-26,48,False
2020-02-02,24,False
2020-02-09,12,False
2020-02-16,24,False
2020-02-23,23,False
2020-03-01,23,False
2020-03-08,29,False
2020-03-15,41,False
2020-03-22,33,False
2020-03-29,28,False
2020-04-05,41,False
2020-04-12,38,True
