date,Gebäudereinigung und -wartung,isPartial
2018-01-07,0,False
2018-01-14,24,False
2018-01-21,24,False
2018-01-28,0,False
2018-02-04,74,False
2018-02-11,25,False
2018-02-18,38,False
2018-02-25,25,False
2018-03-04,25,False
2018-03-11,25,False
2018-03-18,26,False
2018-03-25,27,False
2018-04-01,28,False
2018-04-08,52,False
2018-04-15,53,False
2018-04-22,0,False
2018-04-29,26,False
2018-05-06,26,False
2018-05-13,0,False
2018-05-20,45,False
2018-05-27,27,False
2018-06-03,25,False
2018-06-10,48,False
2018-06-17,36,False
2018-06-24,49,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,24,False
2018-07-22,0,False
2018-07-29,25,False
2018-08-05,26,False
2018-08-12,0,False
2018-08-19,27,False
2018-08-26,0,False
2018-09-02,26,False
2018-09-09,25,False
2018-09-16,26,False
2018-09-23,64,False
2018-09-30,34,False
2018-10-07,25,False
2018-10-14,25,False
2018-10-21,37,False
2018-10-28,25,False
2018-11-04,48,False
2018-11-11,25,False
2018-11-18,47,False
2018-11-25,24,False
2018-12-02,60,False
2018-12-09,72,False
2018-12-16,50,False
2018-12-23,0,False
2018-12-30,52,False
2019-01-06,23,False
2019-01-13,23,False
2019-01-20,34,False
2019-01-27,68,False
2019-02-03,23,False
2019-02-10,23,False
2019-02-17,47,False
2019-02-24,0,False
2019-03-03,24,False
2019-03-10,31,False
2019-03-17,25,False
2019-03-24,37,False
2019-03-31,25,False
2019-04-07,48,False
2019-04-14,26,False
2019-04-21,26,False
2019-04-28,24,False
2019-05-05,23,False
2019-05-12,24,False
2019-05-19,35,False
2019-05-26,61,False
2019-06-02,24,False
2019-06-09,26,False
2019-06-16,25,False
2019-06-23,24,False
2019-06-30,24,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,24,False
2019-08-04,25,False
2019-08-11,0,False
2019-08-18,26,False
2019-08-25,25,False
2019-09-01,24,False
2019-09-08,48,False
2019-09-15,0,False
2019-09-22,23,False
2019-09-29,35,False
2019-10-06,34,False
2019-10-13,45,False
2019-10-20,45,False
2019-10-27,30,False
2019-11-03,33,False
2019-11-10,44,False
2019-11-17,0,False
2019-11-24,33,False
2019-12-01,23,False
2019-12-08,23,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,24,False
2020-01-05,21,False
2020-01-12,21,False
2020-01-19,29,False
2020-01-26,50,False
2020-02-02,21,False
2020-02-09,41,False
2020-02-16,0,False
2020-02-23,21,False
2020-03-01,21,False
2020-03-08,20,False
2020-03-15,19,False
2020-03-22,0,False
2020-03-29,19,False
2020-04-05,0,False
2020-04-12,100,False
2020-04-19,0,False
2020-04-26,0,False
2020-05-03,20,False
2020-05-10,20,False
