date,Gebäudereinigung und -wartung,isPartial
2018-01-07,35,False
2018-01-14,34,False
2018-01-21,34,False
2018-01-28,35,False
2018-02-04,71,False
2018-02-11,0,False
2018-02-18,35,False
2018-02-25,35,False
2018-03-04,0,False
2018-03-11,71,False
2018-03-18,36,False
2018-03-25,38,False
2018-04-01,0,False
2018-04-08,37,False
2018-04-15,0,False
2018-04-22,36,False
2018-04-29,38,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,39,False
2018-06-03,37,False
2018-06-10,71,False
2018-06-17,36,False
2018-06-24,36,False
2018-07-01,35,False
2018-07-08,36,False
2018-07-15,36,False
2018-07-22,36,False
2018-07-29,0,False
2018-08-05,39,False
2018-08-12,40,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,37,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,36,False
2018-10-07,36,False
2018-10-14,35,False
2018-10-21,70,False
2018-10-28,53,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,34,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,35,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,100,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,97,False
2019-02-03,32,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,34,False
2019-03-03,0,False
2019-03-10,32,False
2019-03-17,68,False
2019-03-24,33,False
2019-03-31,0,False
2019-04-07,33,False
2019-04-14,72,False
2019-04-21,71,False
2019-04-28,34,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,32,False
2019-05-26,34,False
2019-06-02,68,False
2019-06-09,36,False
2019-06-16,36,False
2019-06-23,34,False
2019-06-30,0,False
2019-07-07,49,False
2019-07-14,0,False
2019-07-21,35,False
2019-07-28,35,False
2019-08-04,0,False
2019-08-11,36,False
2019-08-18,37,False
2019-08-25,75,False
2019-09-01,0,False
2019-09-08,34,False
2019-09-15,0,False
2019-09-22,66,False
2019-09-29,33,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,32,False
2019-10-27,32,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,31,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,31,False
2019-12-15,32,False
2019-12-22,0,False
2019-12-29,35,False
2020-01-05,0,False
2020-01-12,29,False
2020-01-19,60,False
2020-01-26,44,False
2020-02-02,30,False
2020-02-09,29,False
2020-02-16,31,False
2020-02-23,59,False
2020-03-01,29,False
2020-03-08,41,False
2020-03-15,27,False
2020-03-22,39,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,28,False
2020-04-19,80,False
2020-04-26,0,False
2020-05-03,0,False
2020-05-10,40,False
