date,medecine naturelle,isPartial
2018-01-07,43,False
2018-01-14,43,False
2018-01-21,65,False
2018-01-28,58,False
2018-02-04,21,False
2018-02-11,51,False
2018-02-18,30,False
2018-02-25,44,False
2018-03-04,58,False
2018-03-11,51,False
2018-03-18,44,False
2018-03-25,44,False
2018-04-01,90,False
2018-04-08,55,False
2018-04-15,47,False
2018-04-22,68,False
2018-04-29,23,False
2018-05-06,35,False
2018-05-13,29,False
2018-05-20,30,False
2018-05-27,51,False
2018-06-03,54,False
2018-06-10,21,False
2018-06-17,22,False
2018-06-24,52,False
2018-07-01,0,False
2018-07-08,68,False
2018-07-15,24,False
2018-07-22,36,False
2018-07-29,56,False
2018-08-05,48,False
2018-08-12,41,False
2018-08-19,64,False
2018-08-26,23,False
2018-09-02,45,False
2018-09-09,90,False
2018-09-16,33,False
2018-09-23,22,False
2018-09-30,67,False
2018-10-07,45,False
2018-10-14,67,False
2018-10-21,0,False
2018-10-28,45,False
2018-11-04,43,False
2018-11-11,86,False
2018-11-18,50,False
2018-11-25,80,False
2018-12-02,33,False
2018-12-09,33,False
2018-12-16,23,False
2018-12-23,60,False
2018-12-30,24,False
2019-01-06,80,False
2019-01-13,22,False
2019-01-20,49,False
2019-01-27,42,False
2019-02-03,35,False
2019-02-10,59,False
2019-02-17,57,False
2019-02-24,44,False
2019-03-03,54,False
2019-03-10,51,False
2019-03-17,56,False
2019-03-24,22,False
2019-03-31,29,False
2019-04-07,59,False
2019-04-14,45,False
2019-04-21,45,False
2019-04-28,36,False
2019-05-05,21,False
2019-05-12,36,False
2019-05-19,36,False
2019-05-26,44,False
2019-06-02,20,False
2019-06-09,35,False
2019-06-16,29,False
2019-06-23,22,False
2019-06-30,43,False
2019-07-07,36,False
2019-07-14,22,False
2019-07-21,45,False
2019-07-28,31,False
2019-08-04,23,False
2019-08-11,31,False
2019-08-18,69,False
2019-08-25,36,False
2019-09-01,84,False
2019-09-08,42,False
2019-09-15,21,False
2019-09-22,40,False
2019-09-29,27,False
2019-10-06,41,False
2019-10-13,40,False
2019-10-20,20,False
2019-10-27,33,False
2019-11-03,26,False
2019-11-10,40,False
2019-11-17,52,False
2019-11-24,48,False
2019-12-01,39,False
2019-12-08,26,False
2019-12-15,20,False
2019-12-22,44,False
2019-12-29,42,False
2020-01-05,38,False
2020-01-12,28,False
2020-01-19,19,False
2020-01-26,19,False
2020-02-02,19,False
2020-02-09,31,False
2020-02-16,45,False
2020-02-23,55,False
2020-03-01,24,False
2020-03-08,100,False
2020-03-15,60,False
2020-03-22,68,False
2020-03-29,56,False
2020-04-05,56,False
2020-04-12,17,False
2020-04-19,34,False
2020-04-26,32,False
2020-05-03,73,False
2020-05-10,17,False
2020-05-17,56,True
